         ps   /test_counter_10bit/button1  /test_counter_10bit/led5  /test_counter_10bit/led10             
                   /test_counter_10bit/led1  /test_counter_10bit/led6                                      
                     /test_counter_10bit/led2  /test_counter_10bit/led7                                    
                       /test_counter_10bit/led3  /test_counter_10bit/led8                                  
                         /test_counter_10bit/led4  /test_counter_10bit/led9                                
       1040                             0 0 0 1 0                 1 1 0 0 0                  0 
       1050                             1 1 0 1 0                 1 1 0 0 0                  0 
       1060                             0 1 0 1 0                 1 1 0 0 0                  0 
       1070                             1 0 1 1 0                 1 1 0 0 0                  0 
       1080                             0 0 1 1 0                 1 1 0 0 0                  0 
       1090                             1 1 1 1 0                 1 1 0 0 0                  0 
       1100                             0 1 1 1 0                 1 1 0 0 0                  0 
       1110                             1 0 0 0 1                 1 1 0 0 0                  0 
       1120                             0 0 0 0 1                 1 1 0 0 0                  0 
       1130                             1 1 0 0 1                 1 1 0 0 0                  0 
       1140                             0 1 0 0 1                 1 1 0 0 0                  0 
       1150                             1 0 1 0 1                 1 1 0 0 0                  0 
       1160                             0 0 1 0 1                 1 1 0 0 0                  0 
       1170                             1 1 1 0 1                 1 1 0 0 0                  0 
       1180                             0 1 1 0 1                 1 1 0 0 0                  0 
       1190                             1 0 0 1 1                 1 1 0 0 0                  0 
       1200                             0 0 0 1 1                 1 1 0 0 0                  0 
       1210                             1 1 0 1 1                 1 1 0 0 0                  0 
       1220                             0 1 0 1 1                 1 1 0 0 0                  0 
       1230                             1 0 1 1 1                 1 1 0 0 0                  0 
       1240                             0 0 1 1 1                 1 1 0 0 0                  0 
       1250                             1 1 1 1 1                 1 1 0 0 0                  0 
       1260                             0 1 1 1 1                 1 1 0 0 0                  0 
       1270                             1 0 0 0 0                 0 0 1 0 0                  0 
       1280                             0 0 0 0 0                 0 0 1 0 0                  0 
       1290                             1 1 0 0 0                 0 0 1 0 0                  0 
       1300                             0 1 0 0 0                 0 0 1 0 0                  0 
       1310                             1 0 1 0 0                 0 0 1 0 0                  0 
       1320                             0 0 1 0 0                 0 0 1 0 0                  0 
       1330                             1 1 1 0 0                 0 0 1 0 0                  0 
       1340                             0 1 1 0 0                 0 0 1 0 0                  0 
       1350                             1 0 0 1 0                 0 0 1 0 0                  0 
       1360                             0 0 0 1 0                 0 0 1 0 0                  0 
       1370                             1 1 0 1 0                 0 0 1 0 0                  0 
       1380                             0 1 0 1 0                 0 0 1 0 0                  0 
       1390                             1 0 1 1 0                 0 0 1 0 0                  0 
       1400                             0 0 1 1 0                 0 0 1 0 0                  0 
       1410                             1 1 1 1 0                 0 0 1 0 0                  0 
       1420                             0 1 1 1 0                 0 0 1 0 0                  0 
       1430                             1 0 0 0 1                 0 0 1 0 0                  0 
       1440                             0 0 0 0 1                 0 0 1 0 0                  0 
       1450                             1 1 0 0 1                 0 0 1 0 0                  0 
       1460                             0 1 0 0 1                 0 0 1 0 0                  0 
       1470                             1 0 1 0 1                 0 0 1 0 0                  0 
       1480                             0 0 1 0 1                 0 0 1 0 0                  0 
       1490                             1 1 1 0 1                 0 0 1 0 0                  0 
       1500                             0 1 1 0 1                 0 0 1 0 0                  0 
       1510                             1 0 0 1 1                 0 0 1 0 0                  0 
       1520                             0 0 0 1 1                 0 0 1 0 0                  0 
       1530                             1 1 0 1 1                 0 0 1 0 0                  0 
       1540                             0 1 0 1 1                 0 0 1 0 0                  0 
       1550                             1 0 1 1 1                 0 0 1 0 0                  0 
       1560                             0 0 1 1 1                 0 0 1 0 0                  0 
       1570                             1 1 1 1 1                 0 0 1 0 0                  0 
       1580                             0 1 1 1 1                 0 0 1 0 0                  0 
       1590                             1 0 0 0 0                 1 0 1 0 0                  0 
       1600                             0 0 0 0 0                 1 0 1 0 0                  0 
       1610                             1 1 0 0 0                 1 0 1 0 0                  0 
       1620                             0 1 0 0 0                 1 0 1 0 0                  0 
       1630                             1 0 1 0 0                 1 0 1 0 0                  0 
       1640                             0 0 1 0 0                 1 0 1 0 0                  0 
       1650                             1 1 1 0 0                 1 0 1 0 0                  0 
       1660                             0 1 1 0 0                 1 0 1 0 0                  0 
       1670                             1 0 0 1 0                 1 0 1 0 0                  0 
       1680                             0 0 0 1 0                 1 0 1 0 0                  0 
       1690                             1 1 0 1 0                 1 0 1 0 0                  0 
       1700                             0 1 0 1 0                 1 0 1 0 0                  0 
       1710                             1 0 1 1 0                 1 0 1 0 0                  0 
       1720                             0 0 1 1 0                 1 0 1 0 0                  0 
       1730                             1 1 1 1 0                 1 0 1 0 0                  0 
       1740                             0 1 1 1 0                 1 0 1 0 0                  0 
       1750                             1 0 0 0 1                 1 0 1 0 0                  0 
       1760                             0 0 0 0 1                 1 0 1 0 0                  0 
       1770                             1 1 0 0 1                 1 0 1 0 0                  0 
       1780                             0 1 0 0 1                 1 0 1 0 0                  0 
       1790                             1 0 1 0 1                 1 0 1 0 0                  0 
       1800                             0 0 1 0 1                 1 0 1 0 0                  0 
       1810                             1 1 1 0 1                 1 0 1 0 0                  0 
       1820                             0 1 1 0 1                 1 0 1 0 0                  0 
       1830                             1 0 0 1 1                 1 0 1 0 0                  0 
       1840                             0 0 0 1 1                 1 0 1 0 0                  0 
       1850                             1 1 0 1 1                 1 0 1 0 0                  0 
       1860                             0 1 0 1 1                 1 0 1 0 0                  0 
       1870                             1 0 1 1 1                 1 0 1 0 0                  0 
       1880                             0 0 1 1 1                 1 0 1 0 0                  0 
       1890                             1 1 1 1 1                 1 0 1 0 0                  0 
       1900                             0 1 1 1 1                 1 0 1 0 0                  0 
       1910                             1 0 0 0 0                 0 1 1 0 0                  0 
       1920                             0 0 0 0 0                 0 1 1 0 0                  0 
       1930                             1 1 0 0 0                 0 1 1 0 0                  0 
       1940                             0 1 0 0 0                 0 1 1 0 0                  0 
       1950                             1 0 1 0 0                 0 1 1 0 0                  0 
       1960                             0 0 1 0 0                 0 1 1 0 0                  0 
       1970                             1 1 1 0 0                 0 1 1 0 0                  0 
       1980                             0 1 1 0 0                 0 1 1 0 0                  0 
       1990                             1 0 0 1 0                 0 1 1 0 0                  0 
       2000                             0 0 0 1 0                 0 1 1 0 0                  0 
       2010                             1 1 0 1 0                 0 1 1 0 0                  0 
       2020                             0 1 0 1 0                 0 1 1 0 0                  0 
       2030                             1 0 1 1 0                 0 1 1 0 0                  0 
       2040                             0 0 1 1 0                 0 1 1 0 0                  0 
       2050                             1 1 1 1 0                 0 1 1 0 0                  0 
       2060                             0 1 1 1 0                 0 1 1 0 0                  0 
       2070                             1 0 0 0 1                 0 1 1 0 0                  0 
       2080                             0 0 0 0 1                 0 1 1 0 0                  0 
       2090                             1 1 0 0 1                 0 1 1 0 0                  0 
       2100                             0 1 0 0 1                 0 1 1 0 0                  0 
       2110                             1 0 1 0 1                 0 1 1 0 0                  0 
       2120                             0 0 1 0 1                 0 1 1 0 0                  0 
       2130                             1 1 1 0 1                 0 1 1 0 0                  0 
       2140                             0 1 1 0 1                 0 1 1 0 0                  0 
       2150                             1 0 0 1 1                 0 1 1 0 0                  0 
       2160                             0 0 0 1 1                 0 1 1 0 0                  0 
       2170                             1 1 0 1 1                 0 1 1 0 0                  0 
       2180                             0 1 0 1 1                 0 1 1 0 0                  0 
       2190                             1 0 1 1 1                 0 1 1 0 0                  0 
       2200                             0 0 1 1 1                 0 1 1 0 0                  0 
       2210                             1 1 1 1 1                 0 1 1 0 0                  0 
       2220                             0 1 1 1 1                 0 1 1 0 0                  0 
       2230                             1 0 0 0 0                 1 1 1 0 0                  0 
       2240                             0 0 0 0 0                 1 1 1 0 0                  0 
       2250                             1 1 0 0 0                 1 1 1 0 0                  0 
       2260                             0 1 0 0 0                 1 1 1 0 0                  0 
       2270                             1 0 1 0 0                 1 1 1 0 0                  0 
       2280                             0 0 1 0 0                 1 1 1 0 0                  0 
       2290                             1 1 1 0 0                 1 1 1 0 0                  0 
       2300                             0 1 1 0 0                 1 1 1 0 0                  0 
       2310                             1 0 0 1 0                 1 1 1 0 0                  0 
       2320                             0 0 0 1 0                 1 1 1 0 0                  0 
       2330                             1 1 0 1 0                 1 1 1 0 0                  0 
       2340                             0 1 0 1 0                 1 1 1 0 0                  0 
       2350                             1 0 1 1 0                 1 1 1 0 0                  0 
       2360                             0 0 1 1 0                 1 1 1 0 0                  0 
       2370                             1 1 1 1 0                 1 1 1 0 0                  0 
       2380                             0 1 1 1 0                 1 1 1 0 0                  0 
       2390                             1 0 0 0 1                 1 1 1 0 0                  0 
       2400                             0 0 0 0 1                 1 1 1 0 0                  0 
       2410                             1 1 0 0 1                 1 1 1 0 0                  0 
       2420                             0 1 0 0 1                 1 1 1 0 0                  0 
       2430                             1 0 1 0 1                 1 1 1 0 0                  0 
       2440                             0 0 1 0 1                 1 1 1 0 0                  0 
       2450                             1 1 1 0 1                 1 1 1 0 0                  0 
       2460                             0 1 1 0 1                 1 1 1 0 0                  0 
       2470                             1 0 0 1 1                 1 1 1 0 0                  0 
       2480                             0 0 0 1 1                 1 1 1 0 0                  0 
       2490                             1 1 0 1 1                 1 1 1 0 0                  0 
       2500                             0 1 0 1 1                 1 1 1 0 0                  0 
       2510                             1 0 1 1 1                 1 1 1 0 0                  0 
       2520                             0 0 1 1 1                 1 1 1 0 0                  0 
       2530                             1 1 1 1 1                 1 1 1 0 0                  0 
       2540                             0 1 1 1 1                 1 1 1 0 0                  0 
       2550                             1 0 0 0 0                 0 0 0 1 0                  0 
       2560                             0 0 0 0 0                 0 0 0 1 0                  0 
       2570                             1 1 0 0 0                 0 0 0 1 0                  0 
       2580                             0 1 0 0 0                 0 0 0 1 0                  0 
       2590                             1 0 1 0 0                 0 0 0 1 0                  0 
       2600                             0 0 1 0 0                 0 0 0 1 0                  0 
       2610                             1 1 1 0 0                 0 0 0 1 0                  0 
       2620                             0 1 1 0 0                 0 0 0 1 0                  0 
       2630                             1 0 0 1 0                 0 0 0 1 0                  0 
       2640                             0 0 0 1 0                 0 0 0 1 0                  0 
       2650                             1 1 0 1 0                 0 0 0 1 0                  0 
       2660                             0 1 0 1 0                 0 0 0 1 0                  0 
       2670                             1 0 1 1 0                 0 0 0 1 0                  0 
       2680                             0 0 1 1 0                 0 0 0 1 0                  0 
       2690                             1 1 1 1 0                 0 0 0 1 0                  0 
       2700                             0 1 1 1 0                 0 0 0 1 0                  0 
       2710                             1 0 0 0 1                 0 0 0 1 0                  0 
       2720                             0 0 0 0 1                 0 0 0 1 0                  0 
       2730                             1 1 0 0 1                 0 0 0 1 0                  0 
       2740                             0 1 0 0 1                 0 0 0 1 0                  0 
       2750                             1 0 1 0 1                 0 0 0 1 0                  0 
       2760                             0 0 1 0 1                 0 0 0 1 0                  0 
       2770                             1 1 1 0 1                 0 0 0 1 0                  0 
       2780                             0 1 1 0 1                 0 0 0 1 0                  0 
       2790                             1 0 0 1 1                 0 0 0 1 0                  0 
       2800                             0 0 0 1 1                 0 0 0 1 0                  0 
       2810                             1 1 0 1 1                 0 0 0 1 0                  0 
       2820                             0 1 0 1 1                 0 0 0 1 0                  0 
       2830                             1 0 1 1 1                 0 0 0 1 0                  0 
       2840                             0 0 1 1 1                 0 0 0 1 0                  0 
       2850                             1 1 1 1 1                 0 0 0 1 0                  0 
       2860                             0 1 1 1 1                 0 0 0 1 0                  0 
       2870                             1 0 0 0 0                 1 0 0 1 0                  0 
       2880                             0 0 0 0 0                 1 0 0 1 0                  0 
       2890                             1 1 0 0 0                 1 0 0 1 0                  0 
       2900                             0 1 0 0 0                 1 0 0 1 0                  0 
       2910                             1 0 1 0 0                 1 0 0 1 0                  0 
       2920                             0 0 1 0 0                 1 0 0 1 0                  0 
       2930                             1 1 1 0 0                 1 0 0 1 0                  0 
