         ps   /test_ring_counter_6bit/button1  /test_ring_counter_6bit/led5           
                   /test_ring_counter_6bit/led1  /test_ring_counter_6bit/led6         
                     /test_ring_counter_6bit/led2                                     
                       /test_ring_counter_6bit/led3                                   
                         /test_ring_counter_6bit/led4                                 
       6100                                 1 0 0 0 0                     0 1 
       6110                                 0 0 0 0 0                     0 1 
       6120                                 1 1 0 0 0                     0 0 
       6130                                 0 1 0 0 0                     0 0 
       6140                                 1 0 1 0 0                     0 0 
       6150                                 0 0 1 0 0                     0 0 
       6160                                 1 0 0 1 0                     0 0 
       6170                                 0 0 0 1 0                     0 0 
       6180                                 1 0 0 0 1                     0 0 
       6190                                 0 0 0 0 1                     0 0 
       6200                                 1 0 0 0 0                     1 0 
       6210                                 0 0 0 0 0                     1 0 
       6220                                 1 0 0 0 0                     0 1 
       6230                                 0 0 0 0 0                     0 1 
       6240                                 1 1 0 0 0                     0 0 
       6250                                 0 1 0 0 0                     0 0 
       6260                                 1 0 1 0 0                     0 0 
       6270                                 0 0 1 0 0                     0 0 
       6280                                 1 0 0 1 0                     0 0 
       6290                                 0 0 0 1 0                     0 0 
       6300                                 1 0 0 0 1                     0 0 
       6310                                 0 0 0 0 1                     0 0 
       6320                                 1 0 0 0 0                     1 0 
       6330                                 0 0 0 0 0                     1 0 
       6340                                 1 0 0 0 0                     0 1 
       6350                                 0 0 0 0 0                     0 1 
       6360                                 1 1 0 0 0                     0 0 
       6370                                 0 1 0 0 0                     0 0 
       6380                                 1 0 1 0 0                     0 0 
       6390                                 0 0 1 0 0                     0 0 
       6400                                 1 0 0 1 0                     0 0 
       6410                                 0 0 0 1 0                     0 0 
       6420                                 1 0 0 0 1                     0 0 
       6430                                 0 0 0 0 1                     0 0 
       6440                                 1 0 0 0 0                     1 0 
       6450                                 0 0 0 0 0                     1 0 
       6460                                 1 0 0 0 0                     0 1 
       6470                                 0 0 0 0 0                     0 1 
       6480                                 1 1 0 0 0                     0 0 
       6490                                 0 1 0 0 0                     0 0 
       6500                                 1 0 1 0 0                     0 0 
       6510                                 0 0 1 0 0                     0 0 
       6520                                 1 0 0 1 0                     0 0 
       6530                                 0 0 0 1 0                     0 0 
       6540                                 1 0 0 0 1                     0 0 
       6550                                 0 0 0 0 1                     0 0 
       6560                                 1 0 0 0 0                     1 0 
       6570                                 0 0 0 0 0                     1 0 
       6580                                 1 0 0 0 0                     0 1 
       6590                                 0 0 0 0 0                     0 1 
       6600                                 1 1 0 0 0                     0 0 
       6610                                 0 1 0 0 0                     0 0 
       6620                                 1 0 1 0 0                     0 0 
       6630                                 0 0 1 0 0                     0 0 
       6640                                 1 0 0 1 0                     0 0 
       6650                                 0 0 0 1 0                     0 0 
       6660                                 1 0 0 0 1                     0 0 
       6670                                 0 0 0 0 1                     0 0 
       6680                                 1 0 0 0 0                     1 0 
       6690                                 0 0 0 0 0                     1 0 
       6700                                 1 0 0 0 0                     0 1 
       6710                                 0 0 0 0 0                     0 1 
       6720                                 1 1 0 0 0                     0 0 
       6730                                 0 1 0 0 0                     0 0 
       6740                                 1 0 1 0 0                     0 0 
       6750                                 0 0 1 0 0                     0 0 
       6760                                 1 0 0 1 0                     0 0 
       6770                                 0 0 0 1 0                     0 0 
       6780                                 1 0 0 0 1                     0 0 
       6790                                 0 0 0 0 1                     0 0 
       6800                                 1 0 0 0 0                     1 0 
       6810                                 0 0 0 0 0                     1 0 
       6820                                 1 0 0 0 0                     0 1 
       6830                                 0 0 0 0 0                     0 1 
       6840                                 1 1 0 0 0                     0 0 
       6850                                 0 1 0 0 0                     0 0 
       6860                                 1 0 1 0 0                     0 0 
       6870                                 0 0 1 0 0                     0 0 
       6880                                 1 0 0 1 0                     0 0 
       6890                                 0 0 0 1 0                     0 0 
       6900                                 1 0 0 0 1                     0 0 
       6910                                 0 0 0 0 1                     0 0 
       6920                                 1 0 0 0 0                     1 0 
       6930                                 0 0 0 0 0                     1 0 
       6940                                 1 0 0 0 0                     0 1 
       6950                                 0 0 0 0 0                     0 1 
       6960                                 1 1 0 0 0                     0 0 
       6970                                 0 1 0 0 0                     0 0 
       6980                                 1 0 1 0 0                     0 0 
       6990                                 0 0 1 0 0                     0 0 
       7000                                 1 0 0 1 0                     0 0 
       7010                                 0 0 0 1 0                     0 0 
       7020                                 1 0 0 0 1                     0 0 
       7030                                 0 0 0 0 1                     0 0 
       7040                                 1 0 0 0 0                     1 0 
       7050                                 0 0 0 0 0                     1 0 
       7060                                 1 0 0 0 0                     0 1 
       7070                                 0 0 0 0 0                     0 1 
       7080                                 1 1 0 0 0                     0 0 
       7090                                 0 1 0 0 0                     0 0 
       7100                                 1 0 1 0 0                     0 0 
       7110                                 0 0 1 0 0                     0 0 
       7120                                 1 0 0 1 0                     0 0 
       7130                                 0 0 0 1 0                     0 0 
       7140                                 1 0 0 0 1                     0 0 
       7150                                 0 0 0 0 1                     0 0 
       7160                                 1 0 0 0 0                     1 0 
       7170                                 0 0 0 0 0                     1 0 
       7180                                 1 0 0 0 0                     0 1 
       7190                                 0 0 0 0 0                     0 1 
       7200                                 1 1 0 0 0                     0 0 
       7210                                 0 1 0 0 0                     0 0 
       7220                                 1 0 1 0 0                     0 0 
       7230                                 0 0 1 0 0                     0 0 
       7240                                 1 0 0 1 0                     0 0 
       7250                                 0 0 0 1 0                     0 0 
       7260                                 1 0 0 0 1                     0 0 
       7270                                 0 0 0 0 1                     0 0 
       7280                                 1 0 0 0 0                     1 0 
       7290                                 0 0 0 0 0                     1 0 
       7300                                 1 0 0 0 0                     0 1 
       7310                                 0 0 0 0 0                     0 1 
       7320                                 1 1 0 0 0                     0 0 
       7330                                 0 1 0 0 0                     0 0 
       7340                                 1 0 1 0 0                     0 0 
       7350                                 0 0 1 0 0                     0 0 
       7360                                 1 0 0 1 0                     0 0 
       7370                                 0 0 0 1 0                     0 0 
       7380                                 1 0 0 0 1                     0 0 
       7390                                 0 0 0 0 1                     0 0 
       7400                                 1 0 0 0 0                     1 0 
       7410                                 0 0 0 0 0                     1 0 
       7420                                 1 0 0 0 0                     0 1 
       7430                                 0 0 0 0 0                     0 1 
       7440                                 1 1 0 0 0                     0 0 
       7450                                 0 1 0 0 0                     0 0 
       7460                                 1 0 1 0 0                     0 0 
       7470                                 0 0 1 0 0                     0 0 
       7480                                 1 0 0 1 0                     0 0 
       7490                                 0 0 0 1 0                     0 0 
       7500                                 1 0 0 0 1                     0 0 
       7510                                 0 0 0 0 1                     0 0 
       7520                                 1 0 0 0 0                     1 0 
       7530                                 0 0 0 0 0                     1 0 
       7540                                 1 0 0 0 0                     0 1 
       7550                                 0 0 0 0 0                     0 1 
       7560                                 1 1 0 0 0                     0 0 
       7570                                 0 1 0 0 0                     0 0 
       7580                                 1 0 1 0 0                     0 0 
       7590                                 0 0 1 0 0                     0 0 
       7600                                 1 0 0 1 0                     0 0 
       7610                                 0 0 0 1 0                     0 0 
       7620                                 1 0 0 0 1                     0 0 
       7630                                 0 0 0 0 1                     0 0 
       7640                                 1 0 0 0 0                     1 0 
       7650                                 0 0 0 0 0                     1 0 
       7660                                 1 0 0 0 0                     0 1 
       7670                                 0 0 0 0 0                     0 1 
       7680                                 1 1 0 0 0                     0 0 
       7690                                 0 1 0 0 0                     0 0 
       7700                                 1 0 1 0 0                     0 0 
       7710                                 0 0 1 0 0                     0 0 
       7720                                 1 0 0 1 0                     0 0 
       7730                                 0 0 0 1 0                     0 0 
       7740                                 1 0 0 0 1                     0 0 
       7750                                 0 0 0 0 1                     0 0 
       7760                                 1 0 0 0 0                     1 0 
       7770                                 0 0 0 0 0                     1 0 
       7780                                 1 0 0 0 0                     0 1 
       7790                                 0 0 0 0 0                     0 1 
       7800                                 1 1 0 0 0                     0 0 
       7810                                 0 1 0 0 0                     0 0 
       7820                                 1 0 1 0 0                     0 0 
       7830                                 0 0 1 0 0                     0 0 
       7840                                 1 0 0 1 0                     0 0 
       7850                                 0 0 0 1 0                     0 0 
       7860                                 1 0 0 0 1                     0 0 
       7870                                 0 0 0 0 1                     0 0 
       7880                                 1 0 0 0 0                     1 0 
       7890                                 0 0 0 0 0                     1 0 
       7900                                 1 0 0 0 0                     0 1 
       7910                                 0 0 0 0 0                     0 1 
       7920                                 1 1 0 0 0                     0 0 
       7930                                 0 1 0 0 0                     0 0 
       7940                                 1 0 1 0 0                     0 0 
       7950                                 0 0 1 0 0                     0 0 
       7960                                 1 0 0 1 0                     0 0 
       7970                                 0 0 0 1 0                     0 0 
       7980                                 1 0 0 0 1                     0 0 
       7990                                 0 0 0 0 1                     0 0 
       8000                                 1 0 0 0 0                     1 0 
       8010                                 0 0 0 0 0                     1 0 
       8020                                 1 0 0 0 0                     0 1 
       8030                                 0 0 0 0 0                     0 1 
       8040                                 1 1 0 0 0                     0 0 
       8050                                 0 1 0 0 0                     0 0 
       8060                                 1 0 1 0 0                     0 0 
       8070                                 0 0 1 0 0                     0 0 
       8080                                 1 0 0 1 0                     0 0 
       8090                                 0 0 0 1 0                     0 0 
       8100                                 1 0 0 0 1                     0 0 
       8110                                 0 0 0 0 1                     0 0 
       8120                                 1 0 0 0 0                     1 0 
       8130                                 0 0 0 0 0                     1 0 
       8140                                 1 0 0 0 0                     0 1 
       8150                                 0 0 0 0 0                     0 1 
       8160                                 1 1 0 0 0                     0 0 
       8170                                 0 1 0 0 0                     0 0 
       8180                                 1 0 1 0 0                     0 0 
       8190                                 0 0 1 0 0                     0 0 
       8200                                 1 0 0 1 0                     0 0 
       8210                                 0 0 0 1 0                     0 0 
       8220                                 1 0 0 0 1                     0 0 
       8230                                 0 0 0 0 1                     0 0 
       8240                                 1 0 0 0 0                     1 0 
       8250                                 0 0 0 0 0                     1 0 
       8260                                 1 0 0 0 0                     0 1 
       8270                                 0 0 0 0 0                     0 1 
       8280                                 1 1 0 0 0                     0 0 
       8290                                 0 1 0 0 0                     0 0 
       8300                                 1 0 1 0 0                     0 0 
       8310                                 0 0 1 0 0                     0 0 
       8320                                 1 0 0 1 0                     0 0 
       8330                                 0 0 0 1 0                     0 0 
       8340                                 1 0 0 0 1                     0 0 
       8350                                 0 0 0 0 1                     0 0 
       8360                                 1 0 0 0 0                     1 0 
       8370                                 0 0 0 0 0                     1 0 
       8380                                 1 0 0 0 0                     0 1 
       8390                                 0 0 0 0 0                     0 1 
       8400                                 1 1 0 0 0                     0 0 
       8410                                 0 1 0 0 0                     0 0 
       8420                                 1 0 1 0 0                     0 0 
       8430                                 0 0 1 0 0                     0 0 
       8440                                 1 0 0 1 0                     0 0 
       8450                                 0 0 0 1 0                     0 0 
       8460                                 1 0 0 0 1                     0 0 
       8470                                 0 0 0 0 1                     0 0 
       8480                                 1 0 0 0 0                     1 0 
       8490                                 0 0 0 0 0                     1 0 
       8500                                 1 0 0 0 0                     0 1 
       8510                                 0 0 0 0 0                     0 1 
       8520                                 1 1 0 0 0                     0 0 
       8530                                 0 1 0 0 0                     0 0 
       8540                                 1 0 1 0 0                     0 0 
       8550                                 0 0 1 0 0                     0 0 
       8560                                 1 0 0 1 0                     0 0 
       8570                                 0 0 0 1 0                     0 0 
       8580                                 1 0 0 0 1                     0 0 
       8590                                 0 0 0 0 1                     0 0 
       8600                                 1 0 0 0 0                     1 0 
       8610                                 0 0 0 0 0                     1 0 
       8620                                 1 0 0 0 0                     0 1 
       8630                                 0 0 0 0 0                     0 1 
       8640                                 1 1 0 0 0                     0 0 
       8650                                 0 1 0 0 0                     0 0 
       8660                                 1 0 1 0 0                     0 0 
       8670                                 0 0 1 0 0                     0 0 
       8680                                 1 0 0 1 0                     0 0 
       8690                                 0 0 0 1 0                     0 0 
       8700                                 1 0 0 0 1                     0 0 
       8710                                 0 0 0 0 1                     0 0 
       8720                                 1 0 0 0 0                     1 0 
       8730                                 0 0 0 0 0                     1 0 
       8740                                 1 0 0 0 0                     0 1 
       8750                                 0 0 0 0 0                     0 1 
       8760                                 1 1 0 0 0                     0 0 
       8770                                 0 1 0 0 0                     0 0 
       8780                                 1 0 1 0 0                     0 0 
       8790                                 0 0 1 0 0                     0 0 
       8800                                 1 0 0 1 0                     0 0 
       8810                                 0 0 0 1 0                     0 0 
       8820                                 1 0 0 0 1                     0 0 
       8830                                 0 0 0 0 1                     0 0 
       8840                                 1 0 0 0 0                     1 0 
       8850                                 0 0 0 0 0                     1 0 
       8860                                 1 0 0 0 0                     0 1 
       8870                                 0 0 0 0 0                     0 1 
       8880                                 1 1 0 0 0                     0 0 
       8890                                 0 1 0 0 0                     0 0 
       8900                                 1 0 1 0 0                     0 0 
       8910                                 0 0 1 0 0                     0 0 
       8920                                 1 0 0 1 0                     0 0 
       8930                                 0 0 0 1 0                     0 0 
       8940                                 1 0 0 0 1                     0 0 
       8950                                 0 0 0 0 1                     0 0 
       8960                                 1 0 0 0 0                     1 0 
       8970                                 0 0 0 0 0                     1 0 
       8980                                 1 0 0 0 0                     0 1 
       8990                                 0 0 0 0 0                     0 1 
       9000                                 1 1 0 0 0                     0 0 
       9010                                 0 1 0 0 0                     0 0 
       9020                                 1 0 1 0 0                     0 0 
       9030                                 0 0 1 0 0                     0 0 
       9040                                 1 0 0 1 0                     0 0 
       9050                                 0 0 0 1 0                     0 0 
       9060                                 1 0 0 0 1                     0 0 
       9070                                 0 0 0 0 1                     0 0 
       9080                                 1 0 0 0 0                     1 0 
       9090                                 0 0 0 0 0                     1 0 
       9100                                 1 0 0 0 0                     0 1 
       9110                                 0 0 0 0 0                     0 1 
       9120                                 1 1 0 0 0                     0 0 
       9130                                 0 1 0 0 0                     0 0 
       9140                                 1 0 1 0 0                     0 0 
       9150                                 0 0 1 0 0                     0 0 
       9160                                 1 0 0 1 0                     0 0 
       9170                                 0 0 0 1 0                     0 0 
       9180                                 1 0 0 0 1                     0 0 
       9190                                 0 0 0 0 1                     0 0 
       9200                                 1 0 0 0 0                     1 0 
       9210                                 0 0 0 0 0                     1 0 
       9220                                 1 0 0 0 0                     0 1 
       9230                                 0 0 0 0 0                     0 1 
       9240                                 1 1 0 0 0                     0 0 
       9250                                 0 1 0 0 0                     0 0 
       9260                                 1 0 1 0 0                     0 0 
       9270                                 0 0 1 0 0                     0 0 
       9280                                 1 0 0 1 0                     0 0 
       9290                                 0 0 0 1 0                     0 0 
       9300                                 1 0 0 0 1                     0 0 
       9310                                 0 0 0 0 1                     0 0 
       9320                                 1 0 0 0 0                     1 0 
       9330                                 0 0 0 0 0                     1 0 
       9340                                 1 0 0 0 0                     0 1 
       9350                                 0 0 0 0 0                     0 1 
       9360                                 1 1 0 0 0                     0 0 
       9370                                 0 1 0 0 0                     0 0 
       9380                                 1 0 1 0 0                     0 0 
       9390                                 0 0 1 0 0                     0 0 
       9400                                 1 0 0 1 0                     0 0 
       9410                                 0 0 0 1 0                     0 0 
       9420                                 1 0 0 0 1                     0 0 
       9430                                 0 0 0 0 1                     0 0 
       9440                                 1 0 0 0 0                     1 0 
       9450                                 0 0 0 0 0                     1 0 
       9460                                 1 0 0 0 0                     0 1 
       9470                                 0 0 0 0 0                     0 1 
       9480                                 1 1 0 0 0                     0 0 
       9490                                 0 1 0 0 0                     0 0 
       9500                                 1 0 1 0 0                     0 0 
       9510                                 0 0 1 0 0                     0 0 
       9520                                 1 0 0 1 0                     0 0 
       9530                                 0 0 0 1 0                     0 0 
       9540                                 1 0 0 0 1                     0 0 
       9550                                 0 0 0 0 1                     0 0 
       9560                                 1 0 0 0 0                     1 0 
       9570                                 0 0 0 0 0                     1 0 
       9580                                 1 0 0 0 0                     0 1 
       9590                                 0 0 0 0 0                     0 1 
       9600                                 1 1 0 0 0                     0 0 
       9610                                 0 1 0 0 0                     0 0 
       9620                                 1 0 1 0 0                     0 0 
       9630                                 0 0 1 0 0                     0 0 
       9640                                 1 0 0 1 0                     0 0 
       9650                                 0 0 0 1 0                     0 0 
       9660                                 1 0 0 0 1                     0 0 
       9670                                 0 0 0 0 1                     0 0 
       9680                                 1 0 0 0 0                     1 0 
       9690                                 0 0 0 0 0                     1 0 
       9700                                 1 0 0 0 0                     0 1 
       9710                                 0 0 0 0 0                     0 1 
       9720                                 1 1 0 0 0                     0 0 
       9730                                 0 1 0 0 0                     0 0 
       9740                                 1 0 1 0 0                     0 0 
       9750                                 0 0 1 0 0                     0 0 
       9760                                 1 0 0 1 0                     0 0 
       9770                                 0 0 0 1 0                     0 0 
       9780                                 1 0 0 0 1                     0 0 
       9790                                 0 0 0 0 1                     0 0 
       9800                                 1 0 0 0 0                     1 0 
       9810                                 0 0 0 0 0                     1 0 
       9820                                 1 0 0 0 0                     0 1 
       9830                                 0 0 0 0 0                     0 1 
       9840                                 1 1 0 0 0                     0 0 
       9850                                 0 1 0 0 0                     0 0 
       9860                                 1 0 1 0 0                     0 0 
       9870                                 0 0 1 0 0                     0 0 
       9880                                 1 0 0 1 0                     0 0 
       9890                                 0 0 0 1 0                     0 0 
       9900                                 1 0 0 0 1                     0 0 
       9910                                 0 0 0 0 1                     0 0 
       9920                                 1 0 0 0 0                     1 0 
       9930                                 0 0 0 0 0                     1 0 
       9940                                 1 0 0 0 0                     0 1 
       9950                                 0 0 0 0 0                     0 1 
       9960                                 1 1 0 0 0                     0 0 
       9970                                 0 1 0 0 0                     0 0 
       9980                                 1 0 1 0 0                     0 0 
       9990                                 0 0 1 0 0                     0 0 
      10000                                 1 0 0 1 0                     0 0 
