         ps   /test_shiftregistersipo_4bit/button1  /test_shiftregistersipo_4bit/out4        
                    /test_shiftregistersipo_4bit/in1                                         
                     /test_shiftregistersipo_4bit/out1                                       
                       /test_shiftregistersipo_4bit/out2                                     
                         /test_shiftregistersipo_4bit/out3                                   
      12590                                      1 1 1 1 0                          0 
      12600                                      0 1 1 1 0                          0 
      12610                                      1 1 1 1 1                          0 
      12620                                      0 1 1 1 1                          0 
      12630                                      1 1 1 1 1                          1 
      12640                                      0 0 1 1 1                          1 
      12650                                      1 0 0 1 1                          1 
      12660                                      0 0 0 1 1                          1 
      12670                                      1 0 0 0 1                          1 
      12680                                      0 0 0 0 1                          1 
      12690                                      1 0 0 0 0                          1 
      12700                                      0 0 0 0 0                          1 
      12710                                      1 0 0 0 0                          0 
      12720                                      0 1 0 0 0                          0 
      12730                                      1 1 1 0 0                          0 
      12740                                      0 1 1 0 0                          0 
      12750                                      1 1 1 1 0                          0 
      12760                                      0 1 1 1 0                          0 
      12770                                      1 1 1 1 1                          0 
      12780                                      0 1 1 1 1                          0 
      12790                                      1 1 1 1 1                          1 
      12800                                      0 0 1 1 1                          1 
      12810                                      1 0 0 1 1                          1 
      12820                                      0 0 0 1 1                          1 
      12830                                      1 0 0 0 1                          1 
      12840                                      0 0 0 0 1                          1 
      12850                                      1 0 0 0 0                          1 
      12860                                      0 0 0 0 0                          1 
      12870                                      1 0 0 0 0                          0 
      12880                                      0 1 0 0 0                          0 
      12890                                      1 1 1 0 0                          0 
      12900                                      0 1 1 0 0                          0 
      12910                                      1 1 1 1 0                          0 
      12920                                      0 1 1 1 0                          0 
      12930                                      1 1 1 1 1                          0 
      12940                                      0 1 1 1 1                          0 
      12950                                      1 1 1 1 1                          1 
      12960                                      0 0 1 1 1                          1 
      12970                                      1 0 0 1 1                          1 
      12980                                      0 0 0 1 1                          1 
      12990                                      1 0 0 0 1                          1 
      13000                                      0 0 0 0 1                          1 
      13010                                      1 0 0 0 0                          1 
      13020                                      0 0 0 0 0                          1 
      13030                                      1 0 0 0 0                          0 
      13040                                      0 1 0 0 0                          0 
      13050                                      1 1 1 0 0                          0 
      13060                                      0 1 1 0 0                          0 
      13070                                      1 1 1 1 0                          0 
      13080                                      0 1 1 1 0                          0 
      13090                                      1 1 1 1 1                          0 
      13100                                      0 1 1 1 1                          0 
      13110                                      1 1 1 1 1                          1 
      13120                                      0 0 1 1 1                          1 
      13130                                      1 0 0 1 1                          1 
      13140                                      0 0 0 1 1                          1 
      13150                                      1 0 0 0 1                          1 
      13160                                      0 0 0 0 1                          1 
      13170                                      1 0 0 0 0                          1 
      13180                                      0 0 0 0 0                          1 
      13190                                      1 0 0 0 0                          0 
      13200                                      0 1 0 0 0                          0 
      13210                                      1 1 1 0 0                          0 
      13220                                      0 1 1 0 0                          0 
      13230                                      1 1 1 1 0                          0 
      13240                                      0 1 1 1 0                          0 
      13250                                      1 1 1 1 1                          0 
      13260                                      0 1 1 1 1                          0 
      13270                                      1 1 1 1 1                          1 
      13280                                      0 0 1 1 1                          1 
      13290                                      1 0 0 1 1                          1 
      13300                                      0 0 0 1 1                          1 
      13310                                      1 0 0 0 1                          1 
      13320                                      0 0 0 0 1                          1 
      13330                                      1 0 0 0 0                          1 
      13340                                      0 0 0 0 0                          1 
      13350                                      1 0 0 0 0                          0 
      13360                                      0 1 0 0 0                          0 
      13370                                      1 1 1 0 0                          0 
      13380                                      0 1 1 0 0                          0 
      13390                                      1 1 1 1 0                          0 
      13400                                      0 1 1 1 0                          0 
      13410                                      1 1 1 1 1                          0 
      13420                                      0 1 1 1 1                          0 
      13430                                      1 1 1 1 1                          1 
      13440                                      0 0 1 1 1                          1 
      13450                                      1 0 0 1 1                          1 
      13460                                      0 0 0 1 1                          1 
      13470                                      1 0 0 0 1                          1 
      13480                                      0 0 0 0 1                          1 
      13490                                      1 0 0 0 0                          1 
      13500                                      0 0 0 0 0                          1 
      13510                                      1 0 0 0 0                          0 
      13520                                      0 1 0 0 0                          0 
      13530                                      1 1 1 0 0                          0 
      13540                                      0 1 1 0 0                          0 
      13550                                      1 1 1 1 0                          0 
      13560                                      0 1 1 1 0                          0 
      13570                                      1 1 1 1 1                          0 
      13580                                      0 1 1 1 1                          0 
      13590                                      1 1 1 1 1                          1 
      13600                                      0 0 1 1 1                          1 
      13610                                      1 0 0 1 1                          1 
      13620                                      0 0 0 1 1                          1 
      13630                                      1 0 0 0 1                          1 
      13640                                      0 0 0 0 1                          1 
      13650                                      1 0 0 0 0                          1 
      13660                                      0 0 0 0 0                          1 
      13670                                      1 0 0 0 0                          0 
      13680                                      0 1 0 0 0                          0 
      13690                                      1 1 1 0 0                          0 
      13700                                      0 1 1 0 0                          0 
      13710                                      1 1 1 1 0                          0 
      13720                                      0 1 1 1 0                          0 
      13730                                      1 1 1 1 1                          0 
      13740                                      0 1 1 1 1                          0 
      13750                                      1 1 1 1 1                          1 
      13760                                      0 0 1 1 1                          1 
      13770                                      1 0 0 1 1                          1 
      13780                                      0 0 0 1 1                          1 
      13790                                      1 0 0 0 1                          1 
      13800                                      0 0 0 0 1                          1 
      13810                                      1 0 0 0 0                          1 
      13820                                      0 0 0 0 0                          1 
      13830                                      1 0 0 0 0                          0 
      13840                                      0 1 0 0 0                          0 
      13850                                      1 1 1 0 0                          0 
      13860                                      0 1 1 0 0                          0 
      13870                                      1 1 1 1 0                          0 
      13880                                      0 1 1 1 0                          0 
      13890                                      1 1 1 1 1                          0 
      13900                                      0 1 1 1 1                          0 
      13910                                      1 1 1 1 1                          1 
      13920                                      0 0 1 1 1                          1 
      13930                                      1 0 0 1 1                          1 
      13940                                      0 0 0 1 1                          1 
      13950                                      1 0 0 0 1                          1 
      13960                                      0 0 0 0 1                          1 
      13970                                      1 0 0 0 0                          1 
      13980                                      0 0 0 0 0                          1 
      13990                                      1 0 0 0 0                          0 
      14000                                      0 1 0 0 0                          0 
      14010                                      1 1 1 0 0                          0 
      14020                                      0 1 1 0 0                          0 
      14030                                      1 1 1 1 0                          0 
      14040                                      0 1 1 1 0                          0 
      14050                                      1 1 1 1 1                          0 
      14060                                      0 1 1 1 1                          0 
      14070                                      1 1 1 1 1                          1 
      14080                                      0 0 1 1 1                          1 
      14090                                      1 0 0 1 1                          1 
      14100                                      0 0 0 1 1                          1 
      14110                                      1 0 0 0 1                          1 
      14120                                      0 0 0 0 1                          1 
      14130                                      1 0 0 0 0                          1 
      14140                                      0 0 0 0 0                          1 
      14150                                      1 0 0 0 0                          0 
      14160                                      0 1 0 0 0                          0 
      14170                                      1 1 1 0 0                          0 
      14180                                      0 1 1 0 0                          0 
      14190                                      1 1 1 1 0                          0 
      14200                                      0 1 1 1 0                          0 
      14210                                      1 1 1 1 1                          0 
      14220                                      0 1 1 1 1                          0 
      14230                                      1 1 1 1 1                          1 
      14240                                      0 0 1 1 1                          1 
      14250                                      1 0 0 1 1                          1 
      14260                                      0 0 0 1 1                          1 
      14270                                      1 0 0 0 1                          1 
      14280                                      0 0 0 0 1                          1 
      14290                                      1 0 0 0 0                          1 
      14300                                      0 0 0 0 0                          1 
      14310                                      1 0 0 0 0                          0 
      14320                                      0 1 0 0 0                          0 
      14330                                      1 1 1 0 0                          0 
      14340                                      0 1 1 0 0                          0 
      14350                                      1 1 1 1 0                          0 
      14360                                      0 1 1 1 0                          0 
      14370                                      1 1 1 1 1                          0 
      14380                                      0 1 1 1 1                          0 
      14390                                      1 1 1 1 1                          1 
      14400                                      0 0 1 1 1                          1 
      14410                                      1 0 0 1 1                          1 
      14420                                      0 0 0 1 1                          1 
      14430                                      1 0 0 0 1                          1 
      14440                                      0 0 0 0 1                          1 
      14450                                      1 0 0 0 0                          1 
      14460                                      0 0 0 0 0                          1 
      14470                                      1 0 0 0 0                          0 
      14480                                      0 1 0 0 0                          0 
      14490                                      1 1 1 0 0                          0 
      14500                                      0 1 1 0 0                          0 
      14510                                      1 1 1 1 0                          0 
      14520                                      0 1 1 1 0                          0 
      14530                                      1 1 1 1 1                          0 
      14540                                      0 1 1 1 1                          0 
      14550                                      1 1 1 1 1                          1 
      14560                                      0 0 1 1 1                          1 
      14570                                      1 0 0 1 1                          1 
      14580                                      0 0 0 1 1                          1 
      14590                                      1 0 0 0 1                          1 
      14600                                      0 0 0 0 1                          1 
      14610                                      1 0 0 0 0                          1 
      14620                                      0 0 0 0 0                          1 
      14630                                      1 0 0 0 0                          0 
      14640                                      0 1 0 0 0                          0 
      14650                                      1 1 1 0 0                          0 
      14660                                      0 1 1 0 0                          0 
      14670                                      1 1 1 1 0                          0 
      14680                                      0 1 1 1 0                          0 
      14690                                      1 1 1 1 1                          0 
      14700                                      0 1 1 1 1                          0 
      14710                                      1 1 1 1 1                          1 
      14720                                      0 0 1 1 1                          1 
      14730                                      1 0 0 1 1                          1 
      14740                                      0 0 0 1 1                          1 
      14750                                      1 0 0 0 1                          1 
      14760                                      0 0 0 0 1                          1 
      14770                                      1 0 0 0 0                          1 
      14780                                      0 0 0 0 0                          1 
      14790                                      1 0 0 0 0                          0 
      14800                                      0 1 0 0 0                          0 
      14810                                      1 1 1 0 0                          0 
      14820                                      0 1 1 0 0                          0 
      14830                                      1 1 1 1 0                          0 
      14840                                      0 1 1 1 0                          0 
      14850                                      1 1 1 1 1                          0 
      14860                                      0 1 1 1 1                          0 
      14870                                      1 1 1 1 1                          1 
      14880                                      0 0 1 1 1                          1 
      14890                                      1 0 0 1 1                          1 
      14900                                      0 0 0 1 1                          1 
      14910                                      1 0 0 0 1                          1 
      14920                                      0 0 0 0 1                          1 
      14930                                      1 0 0 0 0                          1 
      14940                                      0 0 0 0 0                          1 
      14950                                      1 0 0 0 0                          0 
      14960                                      0 1 0 0 0                          0 
      14970                                      1 1 1 0 0                          0 
      14980                                      0 1 1 0 0                          0 
      14990                                      1 1 1 1 0                          0 
      15000                                      0 1 1 1 0                          0 
      15010                                      1 1 1 1 1                          0 
      15020                                      0 1 1 1 1                          0 
      15030                                      1 1 1 1 1                          1 
      15040                                      0 0 1 1 1                          1 
      15050                                      1 0 0 1 1                          1 
      15060                                      0 0 0 1 1                          1 
      15070                                      1 0 0 0 1                          1 
      15080                                      0 0 0 0 1                          1 
      15090                                      1 0 0 0 0                          1 
      15100                                      0 0 0 0 0                          1 
      15110                                      1 0 0 0 0                          0 
      15120                                      0 1 0 0 0                          0 
      15130                                      1 1 1 0 0                          0 
      15140                                      0 1 1 0 0                          0 
      15150                                      1 1 1 1 0                          0 
      15160                                      0 1 1 1 0                          0 
      15170                                      1 1 1 1 1                          0 
      15180                                      0 1 1 1 1                          0 
      15190                                      1 1 1 1 1                          1 
      15200                                      0 0 1 1 1                          1 
      15210                                      1 0 0 1 1                          1 
      15220                                      0 0 0 1 1                          1 
      15230                                      1 0 0 0 1                          1 
      15240                                      0 0 0 0 1                          1 
      15250                                      1 0 0 0 0                          1 
      15260                                      0 0 0 0 0                          1 
      15270                                      1 0 0 0 0                          0 
      15280                                      0 1 0 0 0                          0 
      15290                                      1 1 1 0 0                          0 
      15300                                      0 1 1 0 0                          0 
      15310                                      1 1 1 1 0                          0 
      15320                                      0 1 1 1 0                          0 
      15330                                      1 1 1 1 1                          0 
      15340                                      0 1 1 1 1                          0 
      15350                                      1 1 1 1 1                          1 
      15360                                      0 0 1 1 1                          1 
      15370                                      1 0 0 1 1                          1 
      15380                                      0 0 0 1 1                          1 
      15390                                      1 0 0 0 1                          1 
      15400                                      0 0 0 0 1                          1 
      15410                                      1 0 0 0 0                          1 
      15420                                      0 0 0 0 0                          1 
      15430                                      1 0 0 0 0                          0 
      15440                                      0 1 0 0 0                          0 
      15450                                      1 1 1 0 0                          0 
      15460                                      0 1 1 0 0                          0 
      15470                                      1 1 1 1 0                          0 
      15480                                      0 1 1 1 0                          0 
      15490                                      1 1 1 1 1                          0 
      15500                                      0 1 1 1 1                          0 
      15510                                      1 1 1 1 1                          1 
      15520                                      0 0 1 1 1                          1 
      15530                                      1 0 0 1 1                          1 
      15540                                      0 0 0 1 1                          1 
      15550                                      1 0 0 0 1                          1 
      15560                                      0 0 0 0 1                          1 
      15570                                      1 0 0 0 0                          1 
      15580                                      0 0 0 0 0                          1 
      15590                                      1 0 0 0 0                          0 
      15600                                      0 1 0 0 0                          0 
      15610                                      1 1 1 0 0                          0 
      15620                                      0 1 1 0 0                          0 
      15630                                      1 1 1 1 0                          0 
      15640                                      0 1 1 1 0                          0 
      15650                                      1 1 1 1 1                          0 
      15660                                      0 1 1 1 1                          0 
      15670                                      1 1 1 1 1                          1 
      15680                                      0 0 1 1 1                          1 
      15690                                      1 0 0 1 1                          1 
      15700                                      0 0 0 1 1                          1 
      15710                                      1 0 0 0 1                          1 
      15720                                      0 0 0 0 1                          1 
      15730                                      1 0 0 0 0                          1 
      15740                                      0 0 0 0 0                          1 
      15750                                      1 0 0 0 0                          0 
      15760                                      0 1 0 0 0                          0 
      15770                                      1 1 1 0 0                          0 
      15780                                      0 1 1 0 0                          0 
      15790                                      1 1 1 1 0                          0 
      15800                                      0 1 1 1 0                          0 
      15810                                      1 1 1 1 1                          0 
      15820                                      0 1 1 1 1                          0 
      15830                                      1 1 1 1 1                          1 
      15840                                      0 0 1 1 1                          1 
      15850                                      1 0 0 1 1                          1 
      15860                                      0 0 0 1 1                          1 
      15870                                      1 0 0 0 1                          1 
      15880                                      0 0 0 0 1                          1 
      15890                                      1 0 0 0 0                          1 
      15900                                      0 0 0 0 0                          1 
      15910                                      1 0 0 0 0                          0 
      15920                                      0 1 0 0 0                          0 
      15930                                      1 1 1 0 0                          0 
      15940                                      0 1 1 0 0                          0 
      15950                                      1 1 1 1 0                          0 
      15960                                      0 1 1 1 0                          0 
      15970                                      1 1 1 1 1                          0 
      15980                                      0 1 1 1 1                          0 
      15990                                      1 1 1 1 1                          1 
      16000                                      0 0 1 1 1                          1 
      16010                                      1 0 0 1 1                          1 
      16020                                      0 0 0 1 1                          1 
      16030                                      1 0 0 0 1                          1 
      16040                                      0 0 0 0 1                          1 
      16050                                      1 0 0 0 0                          1 
      16060                                      0 0 0 0 0                          1 
      16070                                      1 0 0 0 0                          0 
      16080                                      0 1 0 0 0                          0 
      16090                                      1 1 1 0 0                          0 
      16100                                      0 1 1 0 0                          0 
      16110                                      1 1 1 1 0                          0 
      16120                                      0 1 1 1 0                          0 
      16130                                      1 1 1 1 1                          0 
      16140                                      0 1 1 1 1                          0 
      16150                                      1 1 1 1 1                          1 
      16160                                      0 0 1 1 1                          1 
      16170                                      1 0 0 1 1                          1 
      16180                                      0 0 0 1 1                          1 
      16190                                      1 0 0 0 1                          1 
      16200                                      0 0 0 0 1                          1 
      16210                                      1 0 0 0 0                          1 
      16220                                      0 0 0 0 0                          1 
      16230                                      1 0 0 0 0                          0 
      16240                                      0 1 0 0 0                          0 
      16250                                      1 1 1 0 0                          0 
      16260                                      0 1 1 0 0                          0 
      16270                                      1 1 1 1 0                          0 
      16280                                      0 1 1 1 0                          0 
      16290                                      1 1 1 1 1                          0 
      16300                                      0 1 1 1 1                          0 
      16310                                      1 1 1 1 1                          1 
      16320                                      0 0 1 1 1                          1 
      16330                                      1 0 0 1 1                          1 
      16340                                      0 0 0 1 1                          1 
      16350                                      1 0 0 0 1                          1 
      16360                                      0 0 0 0 1                          1 
      16370                                      1 0 0 0 0                          1 
      16380                                      0 0 0 0 0                          1 
      16390                                      1 0 0 0 0                          0 
      16400                                      0 1 0 0 0                          0 
      16410                                      1 1 1 0 0                          0 
      16420                                      0 1 1 0 0                          0 
      16430                                      1 1 1 1 0                          0 
      16440                                      0 1 1 1 0                          0 
      16450                                      1 1 1 1 1                          0 
      16460                                      0 1 1 1 1                          0 
      16470                                      1 1 1 1 1                          1 
      16480                                      0 0 1 1 1                          1 
      16490                                      1 0 0 1 1                          1 
      16500                                      0 0 0 1 1                          1 
      16510                                      1 0 0 0 1                          1 
      16520                                      0 0 0 0 1                          1 
      16530                                      1 0 0 0 0                          1 
      16540                                      0 0 0 0 0                          1 
      16550                                      1 0 0 0 0                          0 
      16560                                      0 1 0 0 0                          0 
      16570                                      1 1 1 0 0                          0 
      16580                                      0 1 1 0 0                          0 
      16590                                      1 1 1 1 0                          0 
      16600                                      0 1 1 1 0                          0 
      16610                                      1 1 1 1 1                          0 
      16620                                      0 1 1 1 1                          0 
      16630                                      1 1 1 1 1                          1 
      16640                                      0 0 1 1 1                          1 
      16650                                      1 0 0 1 1                          1 
      16660                                      0 0 0 1 1                          1 
      16670                                      1 0 0 0 1                          1 
      16680                                      0 0 0 0 1                          1 
      16690                                      1 0 0 0 0                          1 
      16700                                      0 0 0 0 0                          1 
      16710                                      1 0 0 0 0                          0 
      16720                                      0 1 0 0 0                          0 
      16730                                      1 1 1 0 0                          0 
      16740                                      0 1 1 0 0                          0 
      16750                                      1 1 1 1 0                          0 
      16760                                      0 1 1 1 0                          0 
      16770                                      1 1 1 1 1                          0 
      16780                                      0 1 1 1 1                          0 
      16790                                      1 1 1 1 1                          1 
      16800                                      0 0 1 1 1                          1 
      16810                                      1 0 0 1 1                          1 
      16820                                      0 0 0 1 1                          1 
      16830                                      1 0 0 0 1                          1 
      16840                                      0 0 0 0 1                          1 
      16850                                      1 0 0 0 0                          1 
      16860                                      0 0 0 0 0                          1 
      16870                                      1 0 0 0 0                          0 
      16880                                      0 1 0 0 0                          0 
      16890                                      1 1 1 0 0                          0 
      16900                                      0 1 1 0 0                          0 
      16910                                      1 1 1 1 0                          0 
      16920                                      0 1 1 1 0                          0 
      16930                                      1 1 1 1 1                          0 
      16940                                      0 1 1 1 1                          0 
      16950                                      1 1 1 1 1                          1 
      16960                                      0 0 1 1 1                          1 
      16970                                      1 0 0 1 1                          1 
      16980                                      0 0 0 1 1                          1 
      16990                                      1 0 0 0 1                          1 
      17000                                      0 0 0 0 1                          1 
      17010                                      1 0 0 0 0                          1 
      17020                                      0 0 0 0 0                          1 
      17030                                      1 0 0 0 0                          0 
      17040                                      0 1 0 0 0                          0 
      17050                                      1 1 1 0 0                          0 
      17060                                      0 1 1 0 0                          0 
      17070                                      1 1 1 1 0                          0 
      17080                                      0 1 1 1 0                          0 
      17090                                      1 1 1 1 1                          0 
      17100                                      0 1 1 1 1                          0 
      17110                                      1 1 1 1 1                          1 
      17120                                      0 0 1 1 1                          1 
      17130                                      1 0 0 1 1                          1 
      17140                                      0 0 0 1 1                          1 
      17150                                      1 0 0 0 1                          1 
      17160                                      0 0 0 0 1                          1 
      17170                                      1 0 0 0 0                          1 
      17180                                      0 0 0 0 0                          1 
      17190                                      1 0 0 0 0                          0 
      17200                                      0 1 0 0 0                          0 
      17210                                      1 1 1 0 0                          0 
      17220                                      0 1 1 0 0                          0 
      17230                                      1 1 1 1 0                          0 
      17240                                      0 1 1 1 0                          0 
      17250                                      1 1 1 1 1                          0 
      17260                                      0 1 1 1 1                          0 
      17270                                      1 1 1 1 1                          1 
      17280                                      0 0 1 1 1                          1 
      17290                                      1 0 0 1 1                          1 
      17300                                      0 0 0 1 1                          1 
      17310                                      1 0 0 0 1                          1 
      17320                                      0 0 0 0 1                          1 
      17330                                      1 0 0 0 0                          1 
      17340                                      0 0 0 0 0                          1 
      17350                                      1 0 0 0 0                          0 
      17360                                      0 1 0 0 0                          0 
      17370                                      1 1 1 0 0                          0 
      17380                                      0 1 1 0 0                          0 
      17390                                      1 1 1 1 0                          0 
      17400                                      0 1 1 1 0                          0 
      17410                                      1 1 1 1 1                          0 
      17420                                      0 1 1 1 1                          0 
      17430                                      1 1 1 1 1                          1 
      17440                                      0 0 1 1 1                          1 
      17450                                      1 0 0 1 1                          1 
      17460                                      0 0 0 1 1                          1 
      17470                                      1 0 0 0 1                          1 
      17480                                      0 0 0 0 1                          1 
      17490                                      1 0 0 0 0                          1 
      17500                                      0 0 0 0 0                          1 
      17510                                      1 0 0 0 0                          0 
      17520                                      0 1 0 0 0                          0 
      17530                                      1 1 1 0 0                          0 
      17540                                      0 1 1 0 0                          0 
      17550                                      1 1 1 1 0                          0 
      17560                                      0 1 1 1 0                          0 
      17570                                      1 1 1 1 1                          0 
      17580                                      0 1 1 1 1                          0 
      17590                                      1 1 1 1 1                          1 
      17600                                      0 0 1 1 1                          1 
      17610                                      1 0 0 1 1                          1 
      17620                                      0 0 0 1 1                          1 
      17630                                      1 0 0 0 1                          1 
      17640                                      0 0 0 0 1                          1 
      17650                                      1 0 0 0 0                          1 
      17660                                      0 0 0 0 0                          1 
      17670                                      1 0 0 0 0                          0 
      17680                                      0 1 0 0 0                          0 
      17690                                      1 1 1 0 0                          0 
      17700                                      0 1 1 0 0                          0 
      17710                                      1 1 1 1 0                          0 
      17720                                      0 1 1 1 0                          0 
      17730                                      1 1 1 1 1                          0 
      17740                                      0 1 1 1 1                          0 
      17750                                      1 1 1 1 1                          1 
      17760                                      0 0 1 1 1                          1 
