         ps   /test_shiftregistersipo_4bit/button1  /test_shiftregistersipo_4bit/out4        
                    /test_shiftregistersipo_4bit/in1                                         
                     /test_shiftregistersipo_4bit/out1                                       
                       /test_shiftregistersipo_4bit/out2                                     
                         /test_shiftregistersipo_4bit/out3                                   
    2026990                                      1 0 1 1 0                          0 
    2029151                                      1 1 1 1 0                          0 
    2030000                                      0 1 1 1 0                          0 
    2031312                                      0 0 1 1 0                          0 
    2031534                                      0 1 1 1 0                          0 
    2031756                                      0 0 1 1 0                          0 
    2031978                                      0 1 1 1 0                          0 
    2032200                                      0 0 1 1 0                          0 
    2035000                                      1 0 0 1 1                          0 
    2035760                                      1 1 0 1 1                          0 
    2039320                                      1 0 0 1 1                          0 
    2040000                                      0 0 0 1 1                          0 
    2042880                                      0 1 0 1 1                          0 
    2045000                                      1 1 1 0 1                          1 
    2046440                                      1 0 1 0 1                          1 
    2050000                                      0 0 1 0 1                          1 
    2053365                                      0 1 1 0 1                          1 
    2055000                                      1 1 1 1 0                          1 
    2060000                                      0 1 1 1 0                          1 
    2060290                                      0 0 1 1 0                          1 
    2065000                                      1 0 0 1 1                          0 
    2067215                                      1 1 0 1 1                          0 
    2070000                                      0 1 0 1 1                          0 
    2074140                                      0 0 0 1 1                          0 
    2075000                                      1 0 0 0 1                          1 
    2080000                                      0 0 0 0 1                          1 
    2081763                                      0 1 0 0 1                          1 
    2085000                                      1 1 1 0 0                          1 
    2089386                                      1 0 1 0 0                          1 
    2090000                                      0 0 1 0 0                          1 
    2095000                                      1 0 0 1 0                          0 
    2097009                                      1 1 0 1 0                          0 
    2100000                                      0 1 0 1 0                          0 
    2104632                                      0 0 0 1 0                          0 
    2105000                                      1 0 0 0 1                          0 
    2110000                                      0 0 0 0 1                          0 
    2111797                                      0 1 0 0 1                          0 
    2115000                                      1 1 1 0 0                          1 
    2118962                                      1 0 1 0 0                          1 
    2120000                                      0 0 1 0 0                          1 
    2125000                                      1 0 0 1 0                          0 
    2126127                                      1 1 0 1 0                          0 
    2130000                                      0 1 0 1 0                          0 
    2133292                                      0 0 0 1 0                          0 
    2133898                                      0 1 0 1 0                          0 
    2134504                                      0 0 0 1 0                          0 
    2135000                                      1 0 0 0 1                          0 
    2135110                                      1 1 0 0 1                          0 
    2135716                                      1 0 0 0 1                          0 
    2140000                                      0 0 0 0 1                          0 
    2143515                                      0 1 0 0 1                          0 
    2145000                                      1 1 1 0 0                          1 
    2150000                                      0 1 1 0 0                          1 
    2151314                                      0 0 1 0 0                          1 
    2155000                                      1 0 0 1 0                          0 
    2159113                                      1 1 0 1 0                          0 
    2160000                                      0 1 0 1 0                          0 
    2165000                                      1 1 1 0 1                          0 
    2166912                                      1 0 1 0 1                          0 
    2170000                                      0 0 1 0 1                          0 
    2170149                                      0 1 1 0 1                          0 
    2173386                                      0 0 1 0 1                          0 
    2175000                                      1 0 0 1 0                          1 
    2176623                                      1 1 0 1 0                          1 
    2179860                                      1 0 0 1 0                          1 
    2180000                                      0 0 0 1 0                          1 
    2184379                                      0 1 0 1 0                          1 
    2185000                                      1 1 1 0 1                          0 
    2188898                                      1 0 1 0 1                          0 
    2190000                                      0 0 1 0 1                          0 
    2193417                                      0 1 1 0 1                          0 
    2195000                                      1 1 1 1 0                          1 
    2197936                                      1 0 1 1 0                          1 
    2200000                                      0 0 1 1 0                          1 
    2205000                                      1 0 0 1 1                          0 
    2205371                                      1 1 0 1 1                          0 
    2210000                                      0 1 0 1 1                          0 
    2212806                                      0 0 0 1 1                          0 
    2215000                                      1 0 0 0 1                          1 
    2220000                                      0 0 0 0 1                          1 
    2220241                                      0 1 0 0 1                          1 
    2225000                                      1 1 1 0 0                          1 
    2227676                                      1 0 1 0 0                          1 
    2230000                                      0 0 1 0 0                          1 
    2235000                                      1 0 0 1 0                          0 
    2235954                                      1 1 0 1 0                          0 
    2240000                                      0 1 0 1 0                          0 
    2244232                                      0 0 0 1 0                          0 
    2245000                                      1 0 0 0 1                          0 
    2250000                                      0 0 0 0 1                          0 
    2252510                                      0 1 0 0 1                          0 
    2255000                                      1 1 1 0 0                          1 
    2260000                                      0 1 1 0 0                          1 
    2260788                                      0 0 1 0 0                          1 
    2262350                                      0 1 1 0 0                          1 
    2263912                                      0 0 1 0 0                          1 
    2265000                                      1 0 0 1 0                          0 
    2265474                                      1 1 0 1 0                          0 
    2267036                                      1 0 0 1 0                          0 
    2268368                                      1 1 0 1 0                          0 
    2269700                                      1 0 0 1 0                          0 
    2270000                                      0 0 0 1 0                          0 
    2271032                                      0 1 0 1 0                          0 
    2272364                                      0 0 0 1 0                          0 
    2275000                                      1 0 0 0 1                          0 
    2277804                                      1 1 0 0 1                          0 
    2280000                                      0 1 0 0 1                          0 
    2283244                                      0 0 0 0 1                          0 
    2285000                                      1 0 0 0 0                          1 
    2288684                                      1 1 0 0 0                          1 
    2290000                                      0 1 0 0 0                          1 
    2294124                                      0 0 0 0 0                          1 
    2295000                                      1 0 0 0 0                          0 
    2298045                                      1 1 0 0 0                          0 
    2300000                                      0 1 0 0 0                          0 
    2301966                                      0 0 0 0 0                          0 
    2305000                                      1 0 0 0 0                          0 
    2305887                                      1 1 0 0 0                          0 
    2309808                                      1 0 0 0 0                          0 
    2310000                                      0 0 0 0 0                          0 
    2313508                                      0 1 0 0 0                          0 
    2315000                                      1 1 1 0 0                          0 
    2317208                                      1 0 1 0 0                          0 
    2320000                                      0 0 1 0 0                          0 
    2320908                                      0 1 1 0 0                          0 
    2324608                                      0 0 1 0 0                          0 
    2325000                                      1 0 0 1 0                          0 
    2330000                                      0 0 0 1 0                          0 
    2332707                                      0 1 0 1 0                          0 
    2335000                                      1 1 1 0 1                          0 
    2340000                                      0 1 1 0 1                          0 
    2340806                                      0 0 1 0 1                          0 
    2345000                                      1 0 0 1 0                          1 
    2348905                                      1 1 0 1 0                          1 
    2350000                                      0 1 0 1 0                          1 
    2355000                                      1 1 1 0 1                          0 
    2357004                                      1 0 1 0 1                          0 
    2360000                                      0 0 1 0 1                          0 
    2365000                                      1 0 0 1 0                          1 
    2366098                                      1 1 0 1 0                          1 
    2370000                                      0 1 0 1 0                          1 
    2375000                                      1 1 1 0 1                          0 
    2375192                                      1 0 1 0 1                          0 
    2380000                                      0 0 1 0 1                          0 
    2384286                                      0 1 1 0 1                          0 
    2385000                                      1 1 1 1 0                          1 
    2390000                                      0 1 1 1 0                          1 
    2393380                                      0 0 1 1 0                          1 
    2395000                                      1 0 0 1 1                          0 
    2396313                                      1 1 0 1 1                          0 
    2399246                                      1 0 0 1 1                          0 
    2400000                                      0 0 0 1 1                          0 
    2402179                                      0 1 0 1 1                          0 
    2405000                                      1 1 1 0 1                          1 
    2405112                                      1 0 1 0 1                          1 
    2410000                                      0 0 1 0 1                          1 
    2412545                                      0 1 1 0 1                          1 
    2415000                                      1 1 1 1 0                          1 
    2419978                                      1 0 1 1 0                          1 
    2420000                                      0 0 1 1 0                          1 
    2425000                                      1 0 0 1 1                          0 
    2427411                                      1 1 0 1 1                          0 
    2430000                                      0 1 0 1 1                          0 
    2434844                                      0 0 0 1 1                          0 
    2435000                                      1 0 0 0 1                          1 
    2440000                                      0 0 0 0 1                          1 
    2441897                                      0 1 0 0 1                          1 
    2445000                                      1 1 1 0 0                          1 
    2448950                                      1 0 1 0 0                          1 
    2450000                                      0 0 1 0 0                          1 
    2455000                                      1 0 0 1 0                          0 
    2456003                                      1 1 0 1 0                          0 
    2460000                                      0 1 0 1 0                          0 
    2463056                                      0 0 0 1 0                          0 
    2465000                                      1 0 0 0 1                          0 
    2469267                                      1 1 0 0 1                          0 
    2470000                                      0 1 0 0 1                          0 
    2475000                                      1 1 1 0 0                          1 
    2475478                                      1 0 1 0 0                          1 
    2480000                                      0 0 1 0 0                          1 
    2481689                                      0 1 1 0 0                          1 
    2485000                                      1 1 1 1 0                          0 
    2487900                                      1 0 1 1 0                          0 
    2490000                                      0 0 1 1 0                          0 
    2495000                                      1 0 0 1 1                          0 
    2496352                                      1 1 0 1 1                          0 
    2500000                                      0 1 0 1 1                          0 
    2504804                                      0 0 0 1 1                          0 
    2505000                                      1 0 0 0 1                          1 
    2510000                                      0 0 0 0 1                          1 
    2513256                                      0 1 0 0 1                          1 
    2515000                                      1 1 1 0 0                          1 
    2520000                                      0 1 1 0 0                          1 
    2521708                                      0 0 1 0 0                          1 
    2523024                                      0 1 1 0 0                          1 
    2524340                                      0 0 1 0 0                          1 
    2525000                                      1 0 0 1 0                          0 
    2525656                                      1 1 0 1 0                          0 
    2526972                                      1 0 0 1 0                          0 
    2527348                                      1 1 0 1 0                          0 
    2527724                                      1 0 0 1 0                          0 
    2528100                                      1 1 0 1 0                          0 
    2528476                                      1 0 0 1 0                          0 
    2530000                                      0 0 0 1 0                          0 
    2535000                                      1 0 0 0 1                          0 
    2536585                                      1 1 0 0 1                          0 
    2540000                                      0 1 0 0 1                          0 
    2544694                                      0 0 0 0 1                          0 
    2545000                                      1 0 0 0 0                          1 
    2550000                                      0 0 0 0 0                          1 
    2552803                                      0 1 0 0 0                          1 
    2555000                                      1 1 1 0 0                          0 
    2560000                                      0 1 1 0 0                          0 
    2560912                                      0 0 1 0 0                          0 
    2564191                                      0 1 1 0 0                          0 
    2565000                                      1 1 1 1 0                          0 
    2567470                                      1 0 1 1 0                          0 
    2570000                                      0 0 1 1 0                          0 
    2570749                                      0 1 1 1 0                          0 
    2574028                                      0 0 1 1 0                          0 
    2575000                                      1 0 0 1 1                          0 
    2580000                                      0 0 0 1 1                          0 
    2582013                                      0 1 0 1 1                          0 
    2585000                                      1 1 1 0 1                          1 
    2589998                                      1 0 1 0 1                          1 
    2590000                                      0 0 1 0 1                          1 
    2595000                                      1 0 0 1 0                          1 
    2597983                                      1 1 0 1 0                          1 
    2600000                                      0 1 0 1 0                          1 
    2605000                                      1 1 1 0 1                          0 
    2605968                                      1 0 1 0 1                          0 
    2606366                                      1 1 1 0 1                          0 
    2606764                                      1 0 1 0 1                          0 
    2607162                                      1 1 1 0 1                          0 
    2607560                                      1 0 1 0 1                          0 
    2610000                                      0 0 1 0 1                          0 
    2611544                                      0 1 1 0 1                          0 
    2615000                                      1 1 1 1 0                          1 
    2615528                                      1 0 1 1 0                          1 
    2619512                                      1 1 1 1 0                          1 
    2620000                                      0 1 1 1 0                          1 
    2623496                                      0 0 1 1 0                          1 
    2625000                                      1 0 0 1 1                          0 
    2626130                                      1 1 0 1 1                          0 
    2628764                                      1 0 0 1 1                          0 
    2630000                                      0 0 0 1 1                          0 
    2631398                                      0 1 0 1 1                          0 
    2634032                                      0 0 0 1 1                          0 
    2634799                                      0 1 0 1 1                          0 
    2635000                                      1 1 1 0 1                          1 
    2635566                                      1 0 1 0 1                          1 
    2636333                                      1 1 1 0 1                          1 
    2637100                                      1 0 1 0 1                          1 
    2640000                                      0 0 1 0 1                          1 
    2643569                                      0 1 1 0 1                          1 
    2645000                                      1 1 1 1 0                          1 
    2650000                                      0 1 1 1 0                          1 
    2650038                                      0 0 1 1 0                          1 
    2655000                                      1 0 0 1 1                          0 
    2656507                                      1 1 0 1 1                          0 
    2660000                                      0 1 0 1 1                          0 
    2662976                                      0 0 0 1 1                          0 
    2663197                                      0 1 0 1 1                          0 
    2663418                                      0 0 0 1 1                          0 
    2663639                                      0 1 0 1 1                          0 
    2663860                                      0 0 0 1 1                          0 
    2665000                                      1 0 0 0 1                          1 
    2666125                                      1 1 0 0 1                          1 
    2668390                                      1 0 0 0 1                          1 
    2670000                                      0 0 0 0 1                          1 
    2670655                                      0 1 0 0 1                          1 
    2672920                                      0 0 0 0 1                          1 
    2675000                                      1 0 0 0 0                          1 
    2677227                                      1 1 0 0 0                          1 
    2680000                                      0 1 0 0 0                          1 
    2681534                                      0 0 0 0 0                          1 
    2685000                                      1 0 0 0 0                          0 
    2685841                                      1 1 0 0 0                          0 
    2690000                                      0 1 0 0 0                          0 
    2690148                                      0 0 0 0 0                          0 
    2695000                                      1 0 0 0 0                          0 
    2698328                                      1 1 0 0 0                          0 
    2700000                                      0 1 0 0 0                          0 
    2705000                                      1 1 1 0 0                          0 
    2706508                                      1 0 1 0 0                          0 
    2710000                                      0 0 1 0 0                          0 
    2714688                                      0 1 1 0 0                          0 
    2715000                                      1 1 1 1 0                          0 
    2720000                                      0 1 1 1 0                          0 
    2722868                                      0 0 1 1 0                          0 
    2725000                                      1 0 0 1 1                          0 
    2726541                                      1 1 0 1 1                          0 
    2730000                                      0 1 0 1 1                          0 
    2730214                                      0 0 0 1 1                          0 
    2733887                                      0 1 0 1 1                          0 
    2735000                                      1 1 1 0 1                          1 
    2737560                                      1 0 1 0 1                          1 
    2739467                                      1 1 1 0 1                          1 
    2740000                                      0 1 1 0 1                          1 
    2741374                                      0 0 1 0 1                          1 
    2743281                                      0 1 1 0 1                          1 
    2745000                                      1 1 1 1 0                          1 
    2745188                                      1 0 1 1 0                          1 
    2750000                                      0 0 1 1 0                          1 
    2753641                                      0 1 1 1 0                          1 
    2755000                                      1 1 1 1 1                          0 
    2760000                                      0 1 1 1 1                          0 
    2762094                                      0 0 1 1 1                          0 
    2765000                                      1 0 0 1 1                          1 
    2770000                                      0 0 0 1 1                          1 
    2770547                                      0 1 0 1 1                          1 
    2775000                                      1 1 1 0 1                          1 
    2779000                                      1 0 1 0 1                          1 
    2780000                                      0 0 1 0 1                          1 
    2783011                                      0 1 1 0 1                          1 
    2785000                                      1 1 1 1 0                          1 
    2787022                                      1 0 1 1 0                          1 
    2790000                                      0 0 1 1 0                          1 
    2791033                                      0 1 1 1 0                          1 
    2795000                                      1 1 1 1 1                          0 
    2795044                                      1 0 1 1 1                          0 
    2798457                                      1 1 1 1 1                          0 
    2800000                                      0 1 1 1 1                          0 
    2801870                                      0 0 1 1 1                          0 
    2805000                                      1 0 0 1 1                          1 
    2805283                                      1 1 0 1 1                          1 
    2808696                                      1 0 0 1 1                          1 
    2810000                                      0 0 0 1 1                          1 
    2814927                                      0 1 0 1 1                          1 
    2815000                                      1 1 1 0 1                          1 
    2820000                                      0 1 1 0 1                          1 
    2821158                                      0 0 1 0 1                          1 
    2825000                                      1 0 0 1 0                          1 
    2827389                                      1 1 0 1 0                          1 
    2830000                                      0 1 0 1 0                          1 
    2833620                                      0 0 0 1 0                          1 
    2835000                                      1 0 0 0 1                          0 
    2835445                                      1 1 0 0 1                          0 
    2837270                                      1 0 0 0 1                          0 
    2839095                                      1 1 0 0 1                          0 
    2840000                                      0 1 0 0 1                          0 
    2840920                                      0 0 0 0 1                          0 
    2845000                                      1 0 0 0 0                          1 
    2845472                                      1 1 0 0 0                          1 
    2850000                                      0 1 0 0 0                          1 
    2850024                                      0 0 0 0 0                          1 
    2854576                                      0 1 0 0 0                          1 
    2855000                                      1 1 1 0 0                          0 
    2859128                                      1 0 1 0 0                          0 
    2859306                                      1 1 1 0 0                          0 
    2859484                                      1 0 1 0 0                          0 
    2859662                                      1 1 1 0 0                          0 
    2859840                                      1 0 1 0 0                          0 
    2860000                                      0 0 1 0 0                          0 
    2860550                                      0 1 1 0 0                          0 
    2861260                                      0 0 1 0 0                          0 
    2861970                                      0 1 1 0 0                          0 
    2862680                                      0 0 1 0 0                          0 
    2864559                                      0 1 1 0 0                          0 
    2865000                                      1 1 1 1 0                          0 
    2866438                                      1 0 1 1 0                          0 
    2868317                                      1 1 1 1 0                          0 
    2870000                                      0 1 1 1 0                          0 
    2870196                                      0 0 1 1 0                          0 
    2875000                                      1 0 0 1 1                          0 
    2879655                                      1 1 0 1 1                          0 
    2880000                                      0 1 0 1 1                          0 
    2885000                                      1 1 1 0 1                          1 
    2889114                                      1 0 1 0 1                          1 
    2890000                                      0 0 1 0 1                          1 
    2895000                                      1 0 0 1 0                          1 
    2898573                                      1 1 0 1 0                          1 
    2900000                                      0 1 0 1 0                          1 
    2905000                                      1 1 1 0 1                          0 
    2908032                                      1 0 1 0 1                          0 
    2910000                                      0 0 1 0 1                          0 
    2915000                                      1 0 0 1 0                          1 
    2916020                                      1 1 0 1 0                          1 
    2920000                                      0 1 0 1 0                          1 
    2924008                                      0 0 0 1 0                          1 
    2925000                                      1 0 0 0 1                          0 
    2930000                                      0 0 0 0 1                          0 
    2931996                                      0 1 0 0 1                          0 
    2935000                                      1 1 1 0 0                          1 
    2939984                                      1 0 1 0 0                          1 
    2940000                                      0 0 1 0 0                          1 
    2943671                                      0 1 1 0 0                          1 
    2945000                                      1 1 1 1 0                          0 
    2947358                                      1 0 1 1 0                          0 
    2950000                                      0 0 1 1 0                          0 
    2951045                                      0 1 1 1 0                          0 
    2954732                                      0 0 1 1 0                          0 
    2955000                                      1 0 0 1 1                          0 
    2960000                                      0 0 0 1 1                          0 
    2963682                                      0 1 0 1 1                          0 
    2965000                                      1 1 1 0 1                          1 
    2970000                                      0 1 1 0 1                          1 
    2972632                                      0 0 1 0 1                          1 
    2975000                                      1 0 0 1 0                          1 
    2980000                                      0 0 0 1 0                          1 
    2981582                                      0 1 0 1 0                          1 
    2985000                                      1 1 1 0 1                          0 
    2990000                                      0 1 1 0 1                          0 
    2990532                                      0 0 1 0 1                          0 
    2995000                                      1 0 0 1 0                          1 
    2998895                                      1 1 0 1 0                          1 
    3000000                                      0 1 0 1 0                          1 
    3005000                                      1 1 1 0 1                          0 
    3007258                                      1 0 1 0 1                          0 
    3010000                                      0 0 1 0 1                          0 
    3015000                                      1 0 0 1 0                          1 
    3015621                                      1 1 0 1 0                          1 
    3020000                                      0 1 0 1 0                          1 
    3023984                                      0 0 0 1 0                          1 
    3025000                                      1 0 0 0 1                          0 
    3028798                                      1 1 0 0 1                          0 
    3030000                                      0 1 0 0 1                          0 
    3033612                                      0 0 0 0 1                          0 
    3035000                                      1 0 0 0 0                          1 
    3038426                                      1 1 0 0 0                          1 
    3040000                                      0 1 0 0 0                          1 
    3043240                                      0 0 0 0 0                          1 
    3045000                                      1 0 0 0 0                          0 
    3050000                                      0 0 0 0 0                          0 
    3051148                                      0 1 0 0 0                          0 
    3055000                                      1 1 1 0 0                          0 
    3059056                                      1 0 1 0 0                          0 
    3060000                                      0 0 1 0 0                          0 
    3065000                                      1 0 0 1 0                          0 
    3066964                                      1 1 0 1 0                          0 
    3070000                                      0 1 0 1 0                          0 
    3074872                                      0 0 0 1 0                          0 
    3075000                                      1 0 0 0 1                          0 
    3080000                                      0 0 0 0 1                          0 
    3082198                                      0 1 0 0 1                          0 
    3085000                                      1 1 1 0 0                          1 
    3089524                                      1 0 1 0 0                          1 
    3090000                                      0 0 1 0 0                          1 
    3095000                                      1 0 0 1 0                          0 
    3096850                                      1 1 0 1 0                          0 
    3100000                                      0 1 0 1 0                          0 
    3104176                                      0 0 0 1 0                          0 
    3105000                                      1 0 0 0 1                          0 
    3110000                                      0 0 0 0 1                          0 
    3113481                                      0 1 0 0 1                          0 
    3115000                                      1 1 1 0 0                          1 
    3120000                                      0 1 1 0 0                          1 
    3122786                                      0 0 1 0 0                          1 
    3125000                                      1 0 0 1 0                          0 
    3130000                                      0 0 0 1 0                          0 
    3132091                                      0 1 0 1 0                          0 
    3135000                                      1 1 1 0 1                          0 
    3140000                                      0 1 1 0 1                          0 
    3141396                                      0 0 1 0 1                          0 
    3145000                                      1 0 0 1 0                          1 
    3150000                                      0 0 0 1 0                          1 
    3151192                                      0 1 0 1 0                          1 
    3155000                                      1 1 1 0 1                          0 
    3160000                                      0 1 1 0 1                          0 
    3160988                                      0 0 1 0 1                          0 
    3165000                                      1 0 0 1 0                          1 
    3170000                                      0 0 0 1 0                          1 
    3170784                                      0 1 0 1 0                          1 
    3175000                                      1 1 1 0 1                          0 
    3180000                                      0 1 1 0 1                          0 
    3180580                                      0 0 1 0 1                          0 
    3182527                                      0 1 1 0 1                          0 
    3184474                                      0 0 1 0 1                          0 
    3185000                                      1 0 0 1 0                          1 
    3186421                                      1 1 0 1 0                          1 
    3188368                                      1 0 0 1 0                          1 
    3190000                                      0 0 0 1 0                          1 
    3192954                                      0 1 0 1 0                          1 
    3195000                                      1 1 1 0 1                          0 
    3197540                                      1 0 1 0 1                          0 
    3200000                                      0 0 1 0 1                          0 
    3202126                                      0 1 1 0 1                          0 
    3205000                                      1 1 1 1 0                          1 
    3206712                                      1 0 1 1 0                          1 
    3207301                                      1 1 1 1 0                          1 
    3207890                                      1 0 1 1 0                          1 
    3208479                                      1 1 1 1 0                          1 
    3209068                                      1 0 1 1 0                          1 
    3210000                                      0 0 1 1 0                          1 
    3211875                                      0 1 1 1 0                          1 
    3214682                                      0 0 1 1 0                          1 
    3215000                                      1 0 0 1 1                          0 
    3217489                                      1 1 0 1 1                          0 
    3220000                                      0 1 0 1 1                          0 
    3220296                                      0 0 0 1 1                          0 
    3224891                                      0 1 0 1 1                          0 
    3225000                                      1 1 1 0 1                          1 
    3229486                                      1 0 1 0 1                          1 
    3230000                                      0 0 1 0 1                          1 
    3234081                                      0 1 1 0 1                          1 
    3235000                                      1 1 1 1 0                          1 
    3238676                                      1 0 1 1 0                          1 
    3240000                                      0 0 1 1 0                          1 
    3240925                                      0 1 1 1 0                          1 
    3243174                                      0 0 1 1 0                          1 
    3245000                                      1 0 0 1 1                          0 
    3245423                                      1 1 0 1 1                          0 
    3247672                                      1 0 0 1 1                          0 
    3250000                                      0 0 0 1 1                          0 
    3255000                                      1 0 0 0 1                          1 
    3257241                                      1 1 0 0 1                          1 
    3260000                                      0 1 0 0 1                          1 
    3265000                                      1 1 1 0 0                          1 
    3266810                                      1 0 1 0 0                          1 
    3270000                                      0 0 1 0 0                          1 
    3275000                                      1 0 0 1 0                          0 
    3276379                                      1 1 0 1 0                          0 
    3280000                                      0 1 0 1 0                          0 
    3285000                                      1 1 1 0 1                          0 
    3285948                                      1 0 1 0 1                          0 
    3290000                                      0 0 1 0 1                          0 
    3293433                                      0 1 1 0 1                          0 
    3295000                                      1 1 1 1 0                          1 
