         ps   /test_counter_3bit_asydown/button1            
                   /test_counter_3bit_asydown/led1          
                     /test_counter_3bit_asydown/led2        
                       /test_counter_3bit_asydown/led3      
      26413                                    0 1 0 1 
      26414                                    1 0 0 1 
      26416                                    0 0 0 1 
      26417                                    1 1 1 0 
      26420                                    0 1 1 0 
      26422                                    1 0 1 0 
      26424                                    0 0 1 0 
      26426                                    1 1 0 0 
      26427                                    0 1 0 0 
      26434                                    1 0 0 0 
      26436                                    0 0 0 0 
      26437                                    1 1 1 1 
      26439                                    0 1 1 1 
      26440                                    1 0 1 1 
      26441                                    0 0 1 1 
      26445                                    1 1 0 1 
      26448                                    0 1 0 1 
      26450                                    1 0 0 1 
      26452                                    0 0 0 1 
      26453                                    1 1 1 0 
      26458                                    0 1 1 0 
      26462                                    1 0 1 0 
      26466                                    0 0 1 0 
      26467                                    1 1 0 0 
      26470                                    0 1 0 0 
      26473                                    1 0 0 0 
      26474                                    0 0 0 0 
      26476                                    1 1 1 1 
      26477                                    0 1 1 1 
      26479                                    1 0 1 1 
      26480                                    0 0 1 1 
      26481                                    1 1 0 1 
      26482                                    0 1 0 1 
      26485                                    1 0 0 1 
      26486                                    0 0 0 1 
      26488                                    1 1 1 0 
      26490                                    0 1 1 0 
      26492                                    1 0 1 0 
      26494                                    0 0 1 0 
      26497                                    1 1 0 0 
      26499                                    0 1 0 0 
      26500                                    1 0 0 0 
      26502                                    0 0 0 0 
      26505                                    1 1 1 1 
      26506                                    0 1 1 1 
      26507                                    1 0 1 1 
      26508                                    0 0 1 1 
      26511                                    1 1 0 1 
      26512                                    0 1 0 1 
      26514                                    1 0 0 1 
      26517                                    0 0 0 1 
      26519                                    1 1 1 0 
      26520                                    0 1 1 0 
      26522                                    1 0 1 0 
      26523                                    0 0 1 0 
      26524                                    1 1 0 0 
      26525                                    0 1 0 0 
      26527                                    1 0 0 0 
      26529                                    0 0 0 0 
      26530                                    1 1 1 1 
      26533                                    0 1 1 1 
      26534                                    1 0 1 1 
      26535                                    0 0 1 1 
      26536                                    1 1 0 1 
      26538                                    0 1 0 1 
      26543                                    1 0 0 1 
      26547                                    0 0 0 1 
      26550                                    1 1 1 0 
      26552                                    0 1 1 0 
      26556                                    1 0 1 0 
      26558                                    0 0 1 0 
      26559                                    1 1 0 0 
      26560                                    0 1 0 0 
      26563                                    1 0 0 0 
      26564                                    0 0 0 0 
      26566                                    1 1 1 1 
      26567                                    0 1 1 1 
      26574                                    1 0 1 1 
      26577                                    0 0 1 1 
      26580                                    1 1 0 1 
      26582                                    0 1 0 1 
      26589                                    1 0 0 1 
      26591                                    0 0 0 1 
      26592                                    1 1 1 0 
      26595                                    0 1 1 0 
      26597                                    1 0 1 0 
      26601                                    0 0 1 0 
      26602                                    1 1 0 0 
      26605                                    0 1 0 0 
      26606                                    1 0 0 0 
      26609                                    0 0 0 0 
      26612                                    1 1 1 1 
      26614                                    0 1 1 1 
      26615                                    1 0 1 1 
      26616                                    0 0 1 1 
      26617                                    1 1 0 1 
      26622                                    0 1 0 1 
      26626                                    1 0 0 1 
      26627                                    0 0 0 1 
      26630                                    1 1 1 0 
      26633                                    0 1 1 0 
      26635                                    1 0 1 0 
      26636                                    0 0 1 0 
      26637                                    1 1 0 0 
      26638                                    0 1 0 0 
      26639                                    1 0 0 0 
      26641                                    0 0 0 0 
      26642                                    1 1 1 1 
      26643                                    0 1 1 1 
      26644                                    1 0 1 1 
      26645                                    0 0 1 1 
      26646                                    1 1 0 1 
      26650                                    0 1 0 1 
      26651                                    1 0 0 1 
      26652                                    0 0 0 1 
      26654                                    1 1 1 0 
      26655                                    0 1 1 0 
      26657                                    1 0 1 0 
      26660                                    0 0 1 0 
      26662                                    1 1 0 0 
      26663                                    0 1 0 0 
      26664                                    1 0 0 0 
      26667                                    0 0 0 0 
      26673                                    1 1 1 1 
      26675                                    0 1 1 1 
      26676                                    1 0 1 1 
      26677                                    0 0 1 1 
      26678                                    1 1 0 1 
      26684                                    0 1 0 1 
      26685                                    1 0 0 1 
      26687                                    0 0 0 1 
      26688                                    1 1 1 0 
      26689                                    0 1 1 0 
      26690                                    1 0 1 0 
      26692                                    0 0 1 0 
      26695                                    1 1 0 0 
      26701                                    0 1 0 0 
      26705                                    1 0 0 0 
      26708                                    0 0 0 0 
      26709                                    1 1 1 1 
      26710                                    0 1 1 1 
      26715                                    1 0 1 1 
      26716                                    0 0 1 1 
      26717                                    1 1 0 1 
      26718                                    0 1 0 1 
      26719                                    1 0 0 1 
      26720                                    0 0 0 1 
      26721                                    1 1 1 0 
      26722                                    0 1 1 0 
      26723                                    1 0 1 0 
      26724                                    0 0 1 0 
      26727                                    1 1 0 0 
      26728                                    0 1 0 0 
      26732                                    1 0 0 0 
      26733                                    0 0 0 0 
      26734                                    1 1 1 1 
      26735                                    0 1 1 1 
      26736                                    1 0 1 1 
      26738                                    0 0 1 1 
      26739                                    1 1 0 1 
      26745                                    0 1 0 1 
      26747                                    1 0 0 1 
      26750                                    0 0 0 1 
      26751                                    1 1 1 0 
      26753                                    0 1 1 0 
      26756                                    1 0 1 0 
      26757                                    0 0 1 0 
      26758                                    1 1 0 0 
      26759                                    0 1 0 0 
      26760                                    1 0 0 0 
      26761                                    0 0 0 0 
      26762                                    1 1 1 1 
      26765                                    0 1 1 1 
      26766                                    1 0 1 1 
      26769                                    0 0 1 1 
      26770                                    1 1 0 1 
      26775                                    0 1 0 1 
      26776                                    1 0 0 1 
      26780                                    0 0 0 1 
      26782                                    1 1 1 0 
      26783                                    0 1 1 0 
      26784                                    1 0 1 0 
      26785                                    0 0 1 0 
      26787                                    1 1 0 0 
      26791                                    0 1 0 0 
      26792                                    1 0 0 0 
      26796                                    0 0 0 0 
      26797                                    1 1 1 1 
      26801                                    0 1 1 1 
      26802                                    1 0 1 1 
      26803                                    0 0 1 1 
      26805                                    1 1 0 1 
      26806                                    0 1 0 1 
      26808                                    1 0 0 1 
      26809                                    0 0 0 1 
      26813                                    1 1 1 0 
      26818                                    0 1 1 0 
      26822                                    1 0 1 0 
      26823                                    0 0 1 0 
      26824                                    1 1 0 0 
      26825                                    0 1 0 0 
      26828                                    1 0 0 0 
      26830                                    0 0 0 0 
      26833                                    1 1 1 1 
      26834                                    0 1 1 1 
      26835                                    1 0 1 1 
      26836                                    0 0 1 1 
      26841                                    1 1 0 1 
      26842                                    0 1 0 1 
      26843                                    1 0 0 1 
      26844                                    0 0 0 1 
      26848                                    1 1 1 0 
      26850                                    0 1 1 0 
      26851                                    1 0 1 0 
      26852                                    0 0 1 0 
      26853                                    1 1 0 0 
      26857                                    0 1 0 0 
      26858                                    1 0 0 0 
      26859                                    0 0 0 0 
      26860                                    1 1 1 1 
      26861                                    0 1 1 1 
      26862                                    1 0 1 1 
      26864                                    0 0 1 1 
      26867                                    1 1 0 1 
      26869                                    0 1 0 1 
      26870                                    1 0 0 1 
      26872                                    0 0 0 1 
      26873                                    1 1 1 0 
      26877                                    0 1 1 0 
      26878                                    1 0 1 0 
      26880                                    0 0 1 0 
      26881                                    1 1 0 0 
      26882                                    0 1 0 0 
      26883                                    1 0 0 0 
      26885                                    0 0 0 0 
      26888                                    1 1 1 1 
      26891                                    0 1 1 1 
      26897                                    1 0 1 1 
      26898                                    0 0 1 1 
      26899                                    1 1 0 1 
      26900                                    0 1 0 1 
      26903                                    1 0 0 1 
      26904                                    0 0 0 1 
      26905                                    1 1 1 0 
      26908                                    0 1 1 0 
      26911                                    1 0 1 0 
      26913                                    0 0 1 0 
      26914                                    1 1 0 0 
      26916                                    0 1 0 0 
      26918                                    1 0 0 0 
      26926                                    0 0 0 0 
      26927                                    1 1 1 1 
      26928                                    0 1 1 1 
      26930                                    1 0 1 1 
      26931                                    0 0 1 1 
      26932                                    1 1 0 1 
      26934                                    0 1 0 1 
      26935                                    1 0 0 1 
      26936                                    0 0 0 1 
      26939                                    1 1 1 0 
      26941                                    0 1 1 0 
      26945                                    1 0 1 0 
      26946                                    0 0 1 0 
      26947                                    1 1 0 0 
      26948                                    0 1 0 0 
      26950                                    1 0 0 0 
      26957                                    0 0 0 0 
      26958                                    1 1 1 1 
      26962                                    0 1 1 1 
      26965                                    1 0 1 1 
      26966                                    0 0 1 1 
      26967                                    1 1 0 1 
      26971                                    0 1 0 1 
      26972                                    1 0 0 1 
      26974                                    0 0 0 1 
      26975                                    1 1 1 0 
      26977                                    0 1 1 0 
      26979                                    1 0 1 0 
      26982                                    0 0 1 0 
      26986                                    1 1 0 0 
      26987                                    0 1 0 0 
      26988                                    1 0 0 0 
      26989                                    0 0 0 0 
      26990                                    1 1 1 1 
      26992                                    0 1 1 1 
      26994                                    1 0 1 1 
      26995                                    0 0 1 1 
      26996                                    1 1 0 1 
      27001                                    0 1 0 1 
      27004                                    1 0 0 1 
      27005                                    0 0 0 1 
      27008                                    1 1 1 0 
      27011                                    0 1 1 0 
      27013                                    1 0 1 0 
      27015                                    0 0 1 0 
      27017                                    1 1 0 0 
      27021                                    0 1 0 0 
      27023                                    1 0 0 0 
      27024                                    0 0 0 0 
      27028                                    1 1 1 1 
      27029                                    0 1 1 1 
      27033                                    1 0 1 1 
      27035                                    0 0 1 1 
      27036                                    1 1 0 1 
      27037                                    0 1 0 1 
      27038                                    1 0 0 1 
      27039                                    0 0 0 1 
      27044                                    1 1 1 0 
      27048                                    0 1 1 0 
      27049                                    1 0 1 0 
      27054                                    0 0 1 0 
      27057                                    1 1 0 0 
      27058                                    0 1 0 0 
      27061                                    1 0 0 0 
      27065                                    0 0 0 0 
      27067                                    1 1 1 1 
      27068                                    0 1 1 1 
      27070                                    1 0 1 1 
      27072                                    0 0 1 1 
      27074                                    1 1 0 1 
      27078                                    0 1 0 1 
      27081                                    1 0 0 1 
      27082                                    0 0 0 1 
      27089                                    1 1 1 0 
      27090                                    0 1 1 0 
      27093                                    1 0 1 0 
      27095                                    0 0 1 0 
      27099                                    1 1 0 0 
      27100                                    0 1 0 0 
      27102                                    1 0 0 0 
      27104                                    0 0 0 0 
      27106                                    1 1 1 1 
      27107                                    0 1 1 1 
      27110                                    1 0 1 1 
      27117                                    0 0 1 1 
      27119                                    1 1 0 1 
      27123                                    0 1 0 1 
      27124                                    1 0 0 1 
      27127                                    0 0 0 1 
      27132                                    1 1 1 0 
      27134                                    0 1 1 0 
      27135                                    1 0 1 0 
      27139                                    0 0 1 0 
      27141                                    1 1 0 0 
      27144                                    0 1 0 0 
      27145                                    1 0 0 0 
      27152                                    0 0 0 0 
      27153                                    1 1 1 1 
      27154                                    0 1 1 1 
      27155                                    1 0 1 1 
      27158                                    0 0 1 1 
      27159                                    1 1 0 1 
      27162                                    0 1 0 1 
      27165                                    1 0 0 1 
      27167                                    0 0 0 1 
      27168                                    1 1 1 0 
      27169                                    0 1 1 0 
      27170                                    1 0 1 0 
      27171                                    0 0 1 0 
      27173                                    1 1 0 0 
      27175                                    0 1 0 0 
      27176                                    1 0 0 0 
      27177                                    0 0 0 0 
      27178                                    1 1 1 1 
      27180                                    0 1 1 1 
      27182                                    1 0 1 1 
      27187                                    0 0 1 1 
      27189                                    1 1 0 1 
      27191                                    0 1 0 1 
      27193                                    1 0 0 1 
      27194                                    0 0 0 1 
      27196                                    1 1 1 0 
      27198                                    0 1 1 0 
      27201                                    1 0 1 0 
      27202                                    0 0 1 0 
      27203                                    1 1 0 0 
      27204                                    0 1 0 0 
      27205                                    1 0 0 0 
      27208                                    0 0 0 0 
      27210                                    1 1 1 1 
      27211                                    0 1 1 1 
      27212                                    1 0 1 1 
      27216                                    0 0 1 1 
      27217                                    1 1 0 1 
      27220                                    0 1 0 1 
      27221                                    1 0 0 1 
      27223                                    0 0 0 1 
      27224                                    1 1 1 0 
      27225                                    0 1 1 0 
      27226                                    1 0 1 0 
      27232                                    0 0 1 0 
      27233                                    1 1 0 0 
      27237                                    0 1 0 0 
      27238                                    1 0 0 0 
      27239                                    0 0 0 0 
      27240                                    1 1 1 1 
      27243                                    0 1 1 1 
      27244                                    1 0 1 1 
      27245                                    0 0 1 1 
      27247                                    1 1 0 1 
      27248                                    0 1 0 1 
      27249                                    1 0 0 1 
      27250                                    0 0 0 1 
      27251                                    1 1 1 0 
      27252                                    0 1 1 0 
      27253                                    1 0 1 0 
      27261                                    0 0 1 0 
      27263                                    1 1 0 0 
      27264                                    0 1 0 0 
      27266                                    1 0 0 0 
      27269                                    0 0 0 0 
      27271                                    1 1 1 1 
      27272                                    0 1 1 1 
      27275                                    1 0 1 1 
      27277                                    0 0 1 1 
      27278                                    1 1 0 1 
      27279                                    0 1 0 1 
      27280                                    1 0 0 1 
      27283                                    0 0 0 1 
      27288                                    1 1 1 0 
      27292                                    0 1 1 0 
      27293                                    1 0 1 0 
      27294                                    0 0 1 0 
      27297                                    1 1 0 0 
      27298                                    0 1 0 0 
      27299                                    1 0 0 0 
      27301                                    0 0 0 0 
      27302                                    1 1 1 1 
      27304                                    0 1 1 1 
      27307                                    1 0 1 1 
      27308                                    0 0 1 1 
      27309                                    1 1 0 1 
      27311                                    0 1 0 1 
      27312                                    1 0 0 1 
      27313                                    0 0 0 1 
      27315                                    1 1 1 0 
      27317                                    0 1 1 0 
      27318                                    1 0 1 0 
      27320                                    0 0 1 0 
      27322                                    1 1 0 0 
      27323                                    0 1 0 0 
      27324                                    1 0 0 0 
      27327                                    0 0 0 0 
      27328                                    1 1 1 1 
      27329                                    0 1 1 1 
      27332                                    1 0 1 1 
      27334                                    0 0 1 1 
      27336                                    1 1 0 1 
      27338                                    0 1 0 1 
      27339                                    1 0 0 1 
      27341                                    0 0 0 1 
      27343                                    1 1 1 0 
      27347                                    0 1 1 0 
      27349                                    1 0 1 0 
      27351                                    0 0 1 0 
      27352                                    1 1 0 0 
      27355                                    0 1 0 0 
      27357                                    1 0 0 0 
      27359                                    0 0 0 0 
      27360                                    1 1 1 1 
      27361                                    0 1 1 1 
      27362                                    1 0 1 1 
      27363                                    0 0 1 1 
      27364                                    1 1 0 1 
      27366                                    0 1 0 1 
      27368                                    1 0 0 1 
      27369                                    0 0 0 1 
      27370                                    1 1 1 0 
      27373                                    0 1 1 0 
      27375                                    1 0 1 0 
      27380                                    0 0 1 0 
      27381                                    1 1 0 0 
      27382                                    0 1 0 0 
      27383                                    1 0 0 0 
      27384                                    0 0 0 0 
      27385                                    1 1 1 1 
      27388                                    0 1 1 1 
      27389                                    1 0 1 1 
      27393                                    0 0 1 1 
      27394                                    1 1 0 1 
      27398                                    0 1 0 1 
      27399                                    1 0 0 1 
      27402                                    0 0 0 1 
      27404                                    1 1 1 0 
      27406                                    0 1 1 0 
      27408                                    1 0 1 0 
      27409                                    0 0 1 0 
      27413                                    1 1 0 0 
      27414                                    0 1 0 0 
      27415                                    1 0 0 0 
      27416                                    0 0 0 0 
      27421                                    1 1 1 1 
      27422                                    0 1 1 1 
      27424                                    1 0 1 1 
      27425                                    0 0 1 1 
      27426                                    1 1 0 1 
      27427                                    0 1 0 1 
      27430                                    1 0 0 1 
      27435                                    0 0 0 1 
      27437                                    1 1 1 0 
      27439                                    0 1 1 0 
      27440                                    1 0 1 0 
      27442                                    0 0 1 0 
      27443                                    1 1 0 0 
      27444                                    0 1 0 0 
      27445                                    1 0 0 0 
      27451                                    0 0 0 0 
      27452                                    1 1 1 1 
      27453                                    0 1 1 1 
      27455                                    1 0 1 1 
      27456                                    0 0 1 1 
      27458                                    1 1 0 1 
      27461                                    0 1 0 1 
      27462                                    1 0 0 1 
      27463                                    0 0 0 1 
      27464                                    1 1 1 0 
      27471                                    0 1 1 0 
      27472                                    1 0 1 0 
      27474                                    0 0 1 0 
      27475                                    1 1 0 0 
      27478                                    0 1 0 0 
      27483                                    1 0 0 0 
      27484                                    0 0 0 0 
      27486                                    1 1 1 1 
      27491                                    0 1 1 1 
      27492                                    1 0 1 1 
      27493                                    0 0 1 1 
      27494                                    1 1 0 1 
      27497                                    0 1 0 1 
      27501                                    1 0 0 1 
      27505                                    0 0 0 1 
      27507                                    1 1 1 0 
      27508                                    0 1 1 0 
      27511                                    1 0 1 0 
      27512                                    0 0 1 0 
      27513                                    1 1 0 0 
      27514                                    0 1 0 0 
      27515                                    1 0 0 0 
      27519                                    0 0 0 0 
      27520                                    1 1 1 1 
      27527                                    0 1 1 1 
      27532                                    1 0 1 1 
      27533                                    0 0 1 1 
      27539                                    1 1 0 1 
      27540                                    0 1 0 1 
      27541                                    1 0 0 1 
      27542                                    0 0 0 1 
      27543                                    1 1 1 0 
      27545                                    0 1 1 0 
      27546                                    1 0 1 0 
      27549                                    0 0 1 0 
      27550                                    1 1 0 0 
      27551                                    0 1 0 0 
      27552                                    1 0 0 0 
      27554                                    0 0 0 0 
      27555                                    1 1 1 1 
      27556                                    0 1 1 1 
      27557                                    1 0 1 1 
      27559                                    0 0 1 1 
      27561                                    1 1 0 1 
      27563                                    0 1 0 1 
      27566                                    1 0 0 1 
      27567                                    0 0 0 1 
      27568                                    1 1 1 0 
      27570                                    0 1 1 0 
      27572                                    1 0 1 0 
      27573                                    0 0 1 0 
      27577                                    1 1 0 0 
      27578                                    0 1 0 0 
      27579                                    1 0 0 0 
      27581                                    0 0 0 0 
      27582                                    1 1 1 1 
      27585                                    0 1 1 1 
      27586                                    1 0 1 1 
      27590                                    0 0 1 1 
      27591                                    1 1 0 1 
      27595                                    0 1 0 1 
      27596                                    1 0 0 1 
      27598                                    0 0 0 1 
      27599                                    1 1 1 0 
      27600                                    0 1 1 0 
      27601                                    1 0 1 0 
      27602                                    0 0 1 0 
      27604                                    1 1 0 0 
      27605                                    0 1 0 0 
      27606                                    1 0 0 0 
      27607                                    0 0 0 0 
      27608                                    1 1 1 1 
      27609                                    0 1 1 1 
      27611                                    1 0 1 1 
      27613                                    0 0 1 1 
      27614                                    1 1 0 1 
      27615                                    0 1 0 1 
      27617                                    1 0 0 1 
      27618                                    0 0 0 1 
      27619                                    1 1 1 0 
      27620                                    0 1 1 0 
      27623                                    1 0 1 0 
      27625                                    0 0 1 0 
      27627                                    1 1 0 0 
      27628                                    0 1 0 0 
      27631                                    1 0 0 0 
      27632                                    0 0 0 0 
      27633                                    1 1 1 1 
      27635                                    0 1 1 1 
      27637                                    1 0 1 1 
      27639                                    0 0 1 1 
      27640                                    1 1 0 1 
      27641                                    0 1 0 1 
      27642                                    1 0 0 1 
      27646                                    0 0 0 1 
      27647                                    1 1 1 0 
      27648                                    0 1 1 0 
      27649                                    1 0 1 0 
      27651                                    0 0 1 0 
      27653                                    1 1 0 0 
      27654                                    0 1 0 0 
      27656                                    1 0 0 0 
      27658                                    0 0 0 0 
      27664                                    1 1 1 1 
      27669                                    0 1 1 1 
      27672                                    1 0 1 1 
      27673                                    0 0 1 1 
      27674                                    1 1 0 1 
      27677                                    0 1 0 1 
      27679                                    1 0 0 1 
      27680                                    0 0 0 1 
      27683                                    1 1 1 0 
      27684                                    0 1 1 0 
      27686                                    1 0 1 0 
      27690                                    0 0 1 0 
      27691                                    1 1 0 0 
      27695                                    0 1 0 0 
      27697                                    1 0 0 0 
      27698                                    0 0 0 0 
      27701                                    1 1 1 1 
      27704                                    0 1 1 1 
      27705                                    1 0 1 1 
      27707                                    0 0 1 1 
      27709                                    1 1 0 1 
      27711                                    0 1 0 1 
      27712                                    1 0 0 1 
      27715                                    0 0 0 1 
      27717                                    1 1 1 0 
      27720                                    0 1 1 0 
      27721                                    1 0 1 0 
      27722                                    0 0 1 0 
      27723                                    1 1 0 0 
      27726                                    0 1 0 0 
      27727                                    1 0 0 0 
      27729                                    0 0 0 0 
      27732                                    1 1 1 1 
      27737                                    0 1 1 1 
      27742                                    1 0 1 1 
      27744                                    0 0 1 1 
      27746                                    1 1 0 1 
      27748                                    0 1 0 1 
      27749                                    1 0 0 1 
      27750                                    0 0 0 1 
      27751                                    1 1 1 0 
      27752                                    0 1 1 0 
      27753                                    1 0 1 0 
      27754                                    0 0 1 0 
      27757                                    1 1 0 0 
      27759                                    0 1 0 0 
      27761                                    1 0 0 0 
      27765                                    0 0 0 0 
      27770                                    1 1 1 1 
      27776                                    0 1 1 1 
      27777                                    1 0 1 1 
      27778                                    0 0 1 1 
      27781                                    1 1 0 1 
      27783                                    0 1 0 1 
      27784                                    1 0 0 1 
      27785                                    0 0 0 1 
      27786                                    1 1 1 0 
      27787                                    0 1 1 0 
      27791                                    1 0 1 0 
      27792                                    0 0 1 0 
      27793                                    1 1 0 0 
      27795                                    0 1 0 0 
      27798                                    1 0 0 0 
      27799                                    0 0 0 0 
      27800                                    1 1 1 1 
      27801                                    0 1 1 1 
      27805                                    1 0 1 1 
      27807                                    0 0 1 1 
      27808                                    1 1 0 1 
      27809                                    0 1 0 1 
      27810                                    1 0 0 1 
      27811                                    0 0 0 1 
      27813                                    1 1 1 0 
      27814                                    0 1 1 0 
      27815                                    1 0 1 0 
      27818                                    0 0 1 0 
      27819                                    1 1 0 0 
      27820                                    0 1 0 0 
      27825                                    1 0 0 0 
      27829                                    0 0 0 0 
      27831                                    1 1 1 1 
      27836                                    0 1 1 1 
      27837                                    1 0 1 1 
      27840                                    0 0 1 1 
      27843                                    1 1 0 1 
      27845                                    0 1 0 1 
      27846                                    1 0 0 1 
      27849                                    0 0 0 1 
      27850                                    1 1 1 0 
      27852                                    0 1 1 0 
      27853                                    1 0 1 0 
      27856                                    0 0 1 0 
      27859                                    1 1 0 0 
      27861                                    0 1 0 0 
      27862                                    1 0 0 0 
      27864                                    0 0 0 0 
      27865                                    1 1 1 1 
      27868                                    0 1 1 1 
      27870                                    1 0 1 1 
      27871                                    0 0 1 1 
      27872                                    1 1 0 1 
      27874                                    0 1 0 1 
      27876                                    1 0 0 1 
      27877                                    0 0 0 1 
      27884                                    1 1 1 0 
      27887                                    0 1 1 0 
      27888                                    1 0 1 0 
      27889                                    0 0 1 0 
      27890                                    1 1 0 0 
      27891                                    0 1 0 0 
      27893                                    1 0 0 0 
      27895                                    0 0 0 0 
      27896                                    1 1 1 1 
      27897                                    0 1 1 1 
      27899                                    1 0 1 1 
      27900                                    0 0 1 1 
      27901                                    1 1 0 1 
      27902                                    0 1 0 1 
      27904                                    1 0 0 1 
      27905                                    0 0 0 1 
      27909                                    1 1 1 0 
      27918                                    0 1 1 0 
      27919                                    1 0 1 0 
      27921                                    0 0 1 0 
      27923                                    1 1 0 0 
      27924                                    0 1 0 0 
      27926                                    1 0 0 0 
      27927                                    0 0 0 0 
      27928                                    1 1 1 1 
      27930                                    0 1 1 1 
      27931                                    1 0 1 1 
      27932                                    0 0 1 1 
      27936                                    1 1 0 1 
      27939                                    0 1 0 1 
      27940                                    1 0 0 1 
      27944                                    0 0 0 1 
      27945                                    1 1 1 0 
      27946                                    0 1 1 0 
      27949                                    1 0 1 0 
      27950                                    0 0 1 0 
      27952                                    1 1 0 0 
      27953                                    0 1 0 0 
      27954                                    1 0 0 0 
      27957                                    0 0 0 0 
      27958                                    1 1 1 1 
      27960                                    0 1 1 1 
      27963                                    1 0 1 1 
      27966                                    0 0 1 1 
      27967                                    1 1 0 1 
      27968                                    0 1 0 1 
      27972                                    1 0 0 1 
      27975                                    0 0 0 1 
      27976                                    1 1 1 0 
      27977                                    0 1 1 0 
      27978                                    1 0 1 0 
      27980                                    0 0 1 0 
      27985                                    1 1 0 0 
      27987                                    0 1 0 0 
      27988                                    1 0 0 0 
      27989                                    0 0 0 0 
      27990                                    1 1 1 1 
      27993                                    0 1 1 1 
      27995                                    1 0 1 1 
      28000                                    0 0 1 1 
      28001                                    1 1 0 1 
      28002                                    0 1 0 1 
      28004                                    1 0 0 1 
      28008                                    0 0 0 1 
      28009                                    1 1 1 0 
      28011                                    0 1 1 0 
      28015                                    1 0 1 0 
      28019                                    0 0 1 0 
      28021                                    1 1 0 0 
      28022                                    0 1 0 0 
      28025                                    1 0 0 0 
      28029                                    0 0 0 0 
      28034                                    1 1 1 1 
      28037                                    0 1 1 1 
      28038                                    1 0 1 1 
      28039                                    0 0 1 1 
      28041                                    1 1 0 1 
      28042                                    0 1 0 1 
      28043                                    1 0 0 1 
      28044                                    0 0 0 1 
      28047                                    1 1 1 0 
