         ps   /test_counter_3bit_asydown/button1            
                   /test_counter_3bit_asydown/led1          
                     /test_counter_3bit_asydown/led2        
                       /test_counter_3bit_asydown/led3      
        454                                    1 1 0 0 
        455                                    0 1 0 0 
        456                                    1 0 0 0 
        457                                    0 0 0 0 
        460                                    1 1 1 1 
        464                                    0 1 1 1 
        465                                    1 0 1 1 
        468                                    0 0 1 1 
        470                                    1 1 0 1 
        471                                    0 1 0 1 
        472                                    1 0 0 1 
        476                                    0 0 0 1 
        477                                    1 1 1 0 
        478                                    0 1 1 0 
        480                                    1 0 1 0 
        481                                    0 0 1 0 
        482                                    1 1 0 0 
        484                                    0 1 0 0 
        486                                    1 0 0 0 
        491                                    0 0 0 0 
        492                                    1 1 1 1 
        493                                    0 1 1 1 
        499                                    1 0 1 1 
        500                                    0 0 1 1 
        501                                    1 1 0 1 
        503                                    0 1 0 1 
        504                                    1 0 0 1 
        506                                    0 0 0 1 
        508                                    1 1 1 0 
        509                                    0 1 1 0 
        511                                    1 0 1 0 
        513                                    0 0 1 0 
        515                                    1 1 0 0 
        516                                    0 1 0 0 
        517                                    1 0 0 0 
        518                                    0 0 0 0 
        519                                    1 1 1 1 
        520                                    0 1 1 1 
        521                                    1 0 1 1 
        522                                    0 0 1 1 
        523                                    1 1 0 1 
        524                                    0 1 0 1 
        525                                    1 0 0 1 
        526                                    0 0 0 1 
        527                                    1 1 1 0 
        530                                    0 1 1 0 
        531                                    1 0 1 0 
        533                                    0 0 1 0 
        534                                    1 1 0 0 
        536                                    0 1 0 0 
        537                                    1 0 0 0 
        539                                    0 0 0 0 
        542                                    1 1 1 1 
        543                                    0 1 1 1 
        545                                    1 0 1 1 
        546                                    0 0 1 1 
        554                                    1 1 0 1 
        556                                    0 1 0 1 
        558                                    1 0 0 1 
        561                                    0 0 0 1 
        562                                    1 1 1 0 
        564                                    0 1 1 0 
        565                                    1 0 1 0 
        568                                    0 0 1 0 
        569                                    1 1 0 0 
        571                                    0 1 0 0 
        574                                    1 0 0 0 
        576                                    0 0 0 0 
        579                                    1 1 1 1 
        583                                    0 1 1 1 
        584                                    1 0 1 1 
        585                                    0 0 1 1 
        586                                    1 1 0 1 
        587                                    0 1 0 1 
        588                                    1 0 0 1 
        589                                    0 0 0 1 
        592                                    1 1 1 0 
        596                                    0 1 1 0 
        597                                    1 0 1 0 
        598                                    0 0 1 0 
        599                                    1 1 0 0 
        600                                    0 1 0 0 
        601                                    1 0 0 0 
        602                                    0 0 0 0 
        603                                    1 1 1 1 
        605                                    0 1 1 1 
        606                                    1 0 1 1 
        607                                    0 0 1 1 
        609                                    1 1 0 1 
        610                                    0 1 0 1 
        612                                    1 0 0 1 
        613                                    0 0 0 1 
        618                                    1 1 1 0 
        619                                    0 1 1 0 
        620                                    1 0 1 0 
        621                                    0 0 1 0 
        623                                    1 1 0 0 
        626                                    0 1 0 0 
        627                                    1 0 0 0 
        628                                    0 0 0 0 
        633                                    1 1 1 1 
        642                                    0 1 1 1 
        643                                    1 0 1 1 
        647                                    0 0 1 1 
        648                                    1 1 0 1 
        649                                    0 1 0 1 
        650                                    1 0 0 1 
        651                                    0 0 0 1 
        652                                    1 1 1 0 
        654                                    0 1 1 0 
        655                                    1 0 1 0 
        656                                    0 0 1 0 
        657                                    1 1 0 0 
        658                                    0 1 0 0 
        659                                    1 0 0 0 
        660                                    0 0 0 0 
        661                                    1 1 1 1 
        662                                    0 1 1 1 
        664                                    1 0 1 1 
        665                                    0 0 1 1 
        666                                    1 1 0 1 
        670                                    0 1 0 1 
        676                                    1 0 0 1 
        677                                    0 0 0 1 
        679                                    1 1 1 0 
        683                                    0 1 1 0 
        685                                    1 0 1 0 
        687                                    0 0 1 0 
        689                                    1 1 0 0 
        692                                    0 1 0 0 
        695                                    1 0 0 0 
        700                                    0 0 0 0 
        702                                    1 1 1 1 
        703                                    0 1 1 1 
        704                                    1 0 1 1 
        706                                    0 0 1 1 
        708                                    1 1 0 1 
        711                                    0 1 0 1 
        712                                    1 0 0 1 
        713                                    0 0 0 1 
        714                                    1 1 1 0 
        715                                    0 1 1 0 
        719                                    1 0 1 0 
        720                                    0 0 1 0 
        721                                    1 1 0 0 
        722                                    0 1 0 0 
        725                                    1 0 0 0 
        726                                    0 0 0 0 
        727                                    1 1 1 1 
        729                                    0 1 1 1 
        730                                    1 0 1 1 
        731                                    0 0 1 1 
        735                                    1 1 0 1 
        736                                    0 1 0 1 
        738                                    1 0 0 1 
        739                                    0 0 0 1 
        742                                    1 1 1 0 
        743                                    0 1 1 0 
        745                                    1 0 1 0 
        746                                    0 0 1 0 
        747                                    1 1 0 0 
        751                                    0 1 0 0 
        757                                    1 0 0 0 
        761                                    0 0 0 0 
        763                                    1 1 1 1 
        764                                    0 1 1 1 
        765                                    1 0 1 1 
        766                                    0 0 1 1 
        772                                    1 1 0 1 
        774                                    0 1 0 1 
        775                                    1 0 0 1 
        777                                    0 0 0 1 
        785                                    1 1 1 0 
        788                                    0 1 1 0 
        789                                    1 0 1 0 
        790                                    0 0 1 0 
        792                                    1 1 0 0 
        795                                    0 1 0 0 
        796                                    1 0 0 0 
        798                                    0 0 0 0 
