         ps   /test_counter_4bit/button1  /test_counter_4bit/led4           
                /test_counter_4bit/button4   /test_counter_4bit/vcc         
                     /test_counter_4bit/led1                                
                       /test_counter_4bit/led2                              
                         /test_counter_4bit/led3                            
          0                            0 U 0 0 0                0 1 
      10000                            1 U 1 0 0                0 1 
      20000                            0 U 1 0 0                0 1 
      30000                            1 U 0 1 0                0 1 
      40000                            0 U 0 1 0                0 1 
      50000                            1 U 1 1 0                0 1 
      60000                            0 U 1 1 0                0 1 
      70000                            1 U 0 0 1                0 1 
      80000                            0 U 0 0 1                0 1 
      90000                            1 U 1 0 1                0 1 
     100000                            0 U 1 0 1                0 1 
     110000                            1 U 0 1 1                0 1 
     120000                            0 U 0 1 1                0 1 
     130000                            1 U 1 1 1                0 1 
     140000                            0 U 1 1 1                0 1 
     150000                            1 U 0 0 0                1 1 
     160000                            0 U 0 0 0                1 1 
     170000                            1 U 1 0 0                1 1 
     180000                            0 U 1 0 0                1 1 
     190000                            1 U 0 1 0                1 1 
     200000                            0 U 0 1 0                1 1 
     210000                            1 U 1 1 0                1 1 
     220000                            0 U 1 1 0                1 1 
     230000                            1 U 0 0 1                1 1 
     240000                            0 U 0 0 1                1 1 
     250000                            1 U 1 0 1                1 1 
     260000                            0 U 1 0 1                1 1 
     270000                            1 U 0 1 1                1 1 
     280000                            0 U 0 1 1                1 1 
     290000                            1 U 1 1 1                1 1 
     300000                            0 U 1 1 1                1 1 
     310000                            1 U 0 0 0                0 1 
     320000                            0 U 0 0 0                0 1 
     330000                            1 U 1 0 0                0 1 
     340000                            0 U 1 0 0                0 1 
     350000                            1 U 0 1 0                0 1 
     360000                            0 U 0 1 0                0 1 
     370000                            1 U 1 1 0                0 1 
     380000                            0 U 1 1 0                0 1 
     390000                            1 U 0 0 1                0 1 
     400000                            0 U 0 0 1                0 1 
     410000                            1 U 1 0 1                0 1 
     420000                            0 U 1 0 1                0 1 
     430000                            1 U 0 1 1                0 1 
     440000                            0 U 0 1 1                0 1 
     450000                            1 U 1 1 1                0 1 
     460000                            0 U 1 1 1                0 1 
     470000                            1 U 0 0 0                1 1 
     480000                            0 U 0 0 0                1 1 
     490000                            1 U 1 0 0                1 1 
     500000                            0 U 1 0 0                1 1 
     510000                            1 U 0 1 0                1 1 
     520000                            0 U 0 1 0                1 1 
     530000                            1 U 1 1 0                1 1 
     540000                            0 U 1 1 0                1 1 
     550000                            1 U 0 0 1                1 1 
     560000                            0 U 0 0 1                1 1 
     570000                            1 U 1 0 1                1 1 
     580000                            0 U 1 0 1                1 1 
     590000                            1 U 0 1 1                1 1 
     600000                            0 U 0 1 1                1 1 
     610000                            1 U 1 1 1                1 1 
     620000                            0 U 1 1 1                1 1 
     630000                            1 U 0 0 0                0 1 
     640000                            0 U 0 0 0                0 1 
     650000                            1 U 1 0 0                0 1 
     660000                            0 U 1 0 0                0 1 
     670000                            1 U 0 1 0                0 1 
     680000                            0 U 0 1 0                0 1 
     690000                            1 U 1 1 0                0 1 
     700000                            0 U 1 1 0                0 1 
     710000                            1 U 0 0 1                0 1 
     720000                            0 U 0 0 1                0 1 
     730000                            1 U 1 0 1                0 1 
     740000                            0 U 1 0 1                0 1 
     750000                            1 U 0 1 1                0 1 
     760000                            0 U 0 1 1                0 1 
     770000                            1 U 1 1 1                0 1 
     780000                            0 U 1 1 1                0 1 
     790000                            1 U 0 0 0                1 1 
     800000                            0 U 0 0 0                1 1 
     810000                            1 U 1 0 0                1 1 
     820000                            0 U 1 0 0                1 1 
     830000                            1 U 0 1 0                1 1 
     840000                            0 U 0 1 0                1 1 
     850000                            1 U 1 1 0                1 1 
     860000                            0 U 1 1 0                1 1 
     870000                            1 U 0 0 1                1 1 
     880000                            0 U 0 0 1                1 1 
     890000                            1 U 1 0 1                1 1 
     900000                            0 U 1 0 1                1 1 
     910000                            1 U 0 1 1                1 1 
     920000                            0 U 0 1 1                1 1 
     930000                            1 U 1 1 1                1 1 
     940000                            0 U 1 1 1                1 1 
     950000                            1 U 0 0 0                0 1 
     960000                            0 U 0 0 0                0 1 
     970000                            1 U 1 0 0                0 1 
     980000                            0 U 1 0 0                0 1 
     990000                            1 U 0 1 0                0 1 
    1000000                            0 U 0 1 0                0 1 
    1010000                            1 U 1 1 0                0 1 
    1020000                            0 U 1 1 0                0 1 
    1030000                            1 U 0 0 1                0 1 
    1040000                            0 U 0 0 1                0 1 
    1050000                            1 U 1 0 1                0 1 
    1060000                            0 U 1 0 1                0 1 
    1070000                            1 U 0 1 1                0 1 
    1080000                            0 U 0 1 1                0 1 
    1090000                            1 U 1 1 1                0 1 
    1100000                            0 U 1 1 1                0 1 
    1110000                            1 U 0 0 0                1 1 
    1120000                            0 U 0 0 0                1 1 
    1130000                            1 U 1 0 0                1 1 
    1140000                            0 U 1 0 0                1 1 
    1150000                            1 U 0 1 0                1 1 
    1160000                            0 U 0 1 0                1 1 
    1170000                            1 U 1 1 0                1 1 
    1180000                            0 U 1 1 0                1 1 
    1190000                            1 U 0 0 1                1 1 
    1200000                            0 U 0 0 1                1 1 
    1210000                            1 U 1 0 1                1 1 
    1220000                            0 U 1 0 1                1 1 
    1230000                            1 U 0 1 1                1 1 
    1240000                            0 U 0 1 1                1 1 
    1250000                            1 U 1 1 1                1 1 
    1260000                            0 U 1 1 1                1 1 
    1270000                            1 U 0 0 0                0 1 
    1280000                            0 U 0 0 0                0 1 
    1290000                            1 U 1 0 0                0 1 
    1300000                            0 U 1 0 0                0 1 
    1310000                            1 U 0 1 0                0 1 
    1320000                            0 U 0 1 0                0 1 
    1330000                            1 U 1 1 0                0 1 
    1340000                            0 U 1 1 0                0 1 
    1350000                            1 U 0 0 1                0 1 
    1360000                            0 U 0 0 1                0 1 
    1370000                            1 U 1 0 1                0 1 
    1380000                            0 U 1 0 1                0 1 
    1390000                            1 U 0 1 1                0 1 
    1400000                            0 U 0 1 1                0 1 
    1410000                            1 U 1 1 1                0 1 
    1420000                            0 U 1 1 1                0 1 
    1430000                            1 U 0 0 0                1 1 
    1440000                            0 U 0 0 0                1 1 
    1450000                            1 U 1 0 0                1 1 
    1460000                            0 U 1 0 0                1 1 
    1470000                            1 U 0 1 0                1 1 
    1480000                            0 U 0 1 0                1 1 
    1490000                            1 U 1 1 0                1 1 
    1500000                            0 U 1 1 0                1 1 
    1510000                            1 U 0 0 1                1 1 
    1520000                            0 U 0 0 1                1 1 
    1530000                            1 U 1 0 1                1 1 
    1540000                            0 U 1 0 1                1 1 
    1550000                            1 U 0 1 1                1 1 
    1560000                            0 U 0 1 1                1 1 
    1570000                            1 U 1 1 1                1 1 
    1580000                            0 U 1 1 1                1 1 
    1590000                            1 U 0 0 0                0 1 
    1600000                            0 U 0 0 0                0 1 
    1610000                            1 U 1 0 0                0 1 
    1620000                            0 U 1 0 0                0 1 
    1630000                            1 U 0 1 0                0 1 
    1640000                            0 U 0 1 0                0 1 
    1650000                            1 U 1 1 0                0 1 
    1660000                            0 U 1 1 0                0 1 
    1670000                            1 U 0 0 1                0 1 
    1680000                            0 U 0 0 1                0 1 
    1690000                            1 U 1 0 1                0 1 
    1700000                            0 U 1 0 1                0 1 
    1710000                            1 U 0 1 1                0 1 
    1720000                            0 U 0 1 1                0 1 
    1730000                            1 U 1 1 1                0 1 
    1740000                            0 U 1 1 1                0 1 
    1750000                            1 U 0 0 0                1 1 
    1760000                            0 U 0 0 0                1 1 
    1770000                            1 U 1 0 0                1 1 
    1780000                            0 U 1 0 0                1 1 
    1790000                            1 U 0 1 0                1 1 
    1800000                            0 U 0 1 0                1 1 
    1810000                            1 U 1 1 0                1 1 
    1820000                            0 U 1 1 0                1 1 
    1830000                            1 U 0 0 1                1 1 
    1840000                            0 U 0 0 1                1 1 
    1850000                            1 U 1 0 1                1 1 
    1860000                            0 U 1 0 1                1 1 
    1870000                            1 U 0 1 1                1 1 
    1880000                            0 U 0 1 1                1 1 
    1890000                            1 U 1 1 1                1 1 
    1900000                            0 U 1 1 1                1 1 
    1910000                            1 U 0 0 0                0 1 
    1920000                            0 U 0 0 0                0 1 
    1930000                            1 U 1 0 0                0 1 
    1940000                            0 U 1 0 0                0 1 
    1950000                            1 U 0 1 0                0 1 
    1960000                            0 U 0 1 0                0 1 
    1970000                            1 U 1 1 0                0 1 
    1980000                            0 U 1 1 0                0 1 
    1990000                            1 U 0 0 1                0 1 
    2000000                            0 U 0 0 1                0 1 
    2010000                            1 U 1 0 1                0 1 
    2020000                            0 U 1 0 1                0 1 
    2030000                            1 U 0 1 1                0 1 
    2040000                            0 U 0 1 1                0 1 
    2050000                            1 U 1 1 1                0 1 
    2060000                            0 U 1 1 1                0 1 
    2070000                            1 U 0 0 0                1 1 
    2080000                            0 U 0 0 0                1 1 
    2090000                            1 U 1 0 0                1 1 
    2100000                            0 U 1 0 0                1 1 
